param,estimate,SE,MOE_95,CI_low,CI_high,p_value
p1,0.02713661827147007,0.005237855951278544,0.010612904250912752,0.016523714020557318,0.037749522522382825,8.05673559984195e-06
p2,0.00023205239267554134,0.15798996073328841,0.3201180676720539,-0.3198860152793784,0.32035012006472946,0.9988359747651221
p3,0.006560653913766146,0.005253129731119733,0.010643851868508934,-0.0040831979547427885,0.01720450578227508,0.2195443904247334
p4,0.37275657057762146,0.2450258516368794,0.4964695338339338,-0.12371296325631231,0.8692261044115552,0.13668690945068002
p6,0.23139332234859467,0.0837122496004071,0.16961712920355643,0.06177619314503824,0.4010104515521511,0.008844068299494643
p8,0.11362175643444061,0.04201092640178656,0.08512222244017055,0.028499533994270063,0.19874397887461115,0.010275233004338214
p9,0.006887511815875769,0.0072430156948742035,0.014675743810555657,-0.007788231994679888,0.021563255626431424,0.3478168301585123
w0 (estimated),0.041169047355651855,,,,,
x0 (fixed),3.0825417041778564,,,,,
y0 (fixed),16.7020320892334,,,,,
z0 (fixed),0.11563242971897125,,,,,
W0 (fixed),0.0,,,,,
