param,estimate,SE,MOE_95,CI_low,CI_high,p_value
p1,0.0082074711099267,0.002019643692116858,0.00409218682697146,0.00411528428295524,0.012299657936898162,0.00024153239849345625
p2,0.04107184335589409,0.15099020533596377,0.3059352160429474,-0.2648633726870533,0.34700705939884147,0.7871214425446329
p3,0.0029774003196507692,0.00483450077072523,0.009795629024151882,-0.006818228704501113,0.012773029343802651,0.5417539129181925
p4,0.28547990322113037,0.2167911313625381,0.4392605564183283,-0.15378065319719791,0.7247404596394587,0.1959894993910321
p6,0.12862898409366608,0.061062346588024737,0.12372406643152696,0.004904917662139116,0.252353050525193,0.04200139637069768
p8,0.06619100272655487,0.03215098588541743,0.06514408527998806,0.0010469174465668057,0.13133508800654292,0.046609732401599054
p9,2.0563787984428927e-05,0.00855314166341581,0.017330311173633373,-0.017309747385648944,0.0173508749616178,0.9980946137847906
w0 (estimated),0.05116567388176918,,,,,
x0 (fixed),5.6045308113098145,,,,,
y0 (fixed),41.20490264892578,,,,,
z0 (fixed),0.06092072278261185,,,,,
W0 (fixed),0.0,,,,,
