Set,t,w_exp,w_GA,x_exp,x_GA,y_exp,y_GA,z_exp,z_GA
E2,0,0.090531463291138,0.0650551956711737,3.85132423288129,3.85132423288129,24.3100257968021,24.3100257968021,0.603489031229986,0.603489031229986
E2,3,0.23667107936851,0.161193467879509,3.61328161529856,3.57512342701462,23.2234056611027,23.1543070209938,1.34926262755099,1.23252085627565
E2,6,0.586740771641717,0.388415941025785,3.02717431130221,2.98077647015092,20.9475425756943,20.5932173140375,2.89337842201125,2.63948854313561
E2,9,1.08721130317617,0.879368238564467,1.96162367470172,1.94980117730517,16.3688370824847,15.6889855090731,5.75375561783628,5.31458259534855
E2,12,1.6811448382332,1.76436088844428,0.763163050121479,0.790409544621899,9.19823801239376,8.80861037848536,9.20670670227448,8.98538040835706
E2,15,2.70181260243724,2.9466343012102,0.131215529425681,0.152641527942236,3.026960506881,3.0816558847836,11.7807035245257,11.93787418347
E2,18,4.11405595434951,4.02669245395582,0,0.0129948225695604,0.434055703237909,0.639347693802085,13.2523701955672,13.1484598220942
E2,21,4.93935388659043,4.71254829204361,0,0.000591780542833969,0,0.088993809652618,13.7107426191879,13.4049067666685
E2,24,5.07143237846563,5.03963676568536,0,1.90479179994379e-05,0,0.00992757724479136,13.4293553272546,13.4298100806765
E2,27,5.03495413180034,5.15812178290637,0,5.2874383081155e-07,0,0.00100766045335419,13.1787177159175,13.4206339369049
E2,30,5.10992427059758,5.17738864408883,0,1.4049708834375e-08,0,9.94671585367585e-05,13.0292342178652,13.4075913896045
