Set,t,w_exp,w_GA,x_exp,x_GA,y_exp,y_GA,z_exp,z_GA
E7,0,0.0650496126979205,0.0865631254054204,6.03753610860432,6.03753610860432,39.9933401802281,39.9933401802281,0.152615872209954,0.152615872209954
E7,3,0.217092905525911,0.243816913545907,5.66639374721007,5.65211809578901,38.5526674785093,38.668835617604,1.0167849438368,0.963887538803593
E7,6,0.58566377923521,0.663501241806905,4.70669497711486,4.70876734384563,35.5846183061809,35.3038248674961,3.6570462042248,3.05779302366432
E7,9,1.43782979556699,1.65683508074658,2.88391577568324,2.92640025342264,28.2736444715652,27.9055299810851,8.47597357672029,7.61514118757941
E7,12,3.30120650983627,3.46751333007588,1.04311541196616,0.990248025456252,16.769693783081,16.3573597639538,14.4378455714507,14.5142286456829
E7,15,5.85126036163203,5.61433489586113,0.165659427534619,0.137307088440379,6.00053299261024,6.18269338517295,19.9270039580092,20.3583396800389
E7,18,7.33226446532655,7.16461961070549,0,0.00832942161086961,0.964328887870691,1.55620094007655,22.5931637145964,22.9322776782707
E7,21,7.75251183593972,7.90750999304324,0,0.000309605059464252,0,0.307842074520497,23.279983985492,23.602070464388
E7,24,8.01940939097267,8.1639652555838,0,9.38424223284461e-06,0,0.0550824187775647,23.7550642389987,23.7182860491148
E7,27,8.21277225945917,8.20706475264258,0,2.68410318077377e-07,0,0.00957873522899608,24.0598951103062,23.7196386349139
E7,30,8.26868336670295,8.16763151687091,0,7.69323442564921e-09,0,0.00166744219491712,24.0397621897076,23.7001887249066
