Set,t,w_exp,w_GA,x_exp,x_GA,y_exp,y_GA,z_exp,z_GA
E8,0,0.0516946072014307,0.0665462753982134,4.9452768975505,4.9452768975505,68.1450389613455,68.1450389613455,0,0
E8,3,0.117336878422949,0.142610537239614,4.21927760243735,4.55169878986516,67.1902258561245,66.5158175095088,0.216138071170795,0.884711479184911
E8,6,0.276246849999361,0.302640538789174,3.38008442247222,3.8138835631205,64.6930217815177,63.2590075175644,1.40328052900216,2.69124194816637
E8,9,0.566530608061662,0.629479754163524,2.3958286621463,2.63035372012402,58.6253522590202,57.004773222051,4.61964851768439,6.1675542648676
E8,12,1.11708796731154,1.25897702587682,1.50998755915003,1.23310813016707,46.8691143043199,46.1615129086803,10.4442688211033,12.1310441384588
E8,15,2.3088463392983,2.34793953266819,0.826902319745513,0.285808915713799,28.463226443336,30.757446001621,19.1797713800505,20.4689483270488
E8,18,4.16261021746481,3.93025076080138,0.305115630798105,0.0217008813957317,10.8841504432074,15.046171618216,28.6253769879277,28.8719551010997
E8,21,5.86811566268013,5.73913418422859,0.0520443562161738,0.000391360217841139,2.14027440010915,4.94357371805331,34.44712944461,34.2406450969514
E8,24,7.19736226864745,7.31696009708669,0,1.67893486881851e-06,0.12879255384547,1.0913595519157,36.5618130433314,36.2638401207278
E8,27,8.28704337971825,8.38814806480104,0,2.38032598487506e-09,0,0.177310912300746,37.2824509636154,36.7156787926881
E8,30,9.02374280811654,8.98016434819377,0,1.70717795045506e-12,0,0.0238528466956731,37.5466377848333,36.7607753406896
