Set,t,w_exp,w_GA,x_exp,x_GA,y_exp,y_GA,z_exp,z_GA
E9,0,0.0266824822342789,0.0473373538643769,7.23641894520306,7.23641894520306,67.4580996886758,67.4580996886758,0,0
E9,3,0.0616762224946736,0.122372082602751,6.45977483263039,6.79002484142571,65.5073226979237,66.8444623271689,0.24743060679829,0.297040473262331
E9,6,0.183312129910376,0.312581461746544,5.04334903618748,5.76523007490624,62.2755247475498,65.4200947506439,1.29659629628609,1.04182638992957
E9,9,0.472794200751664,0.775209992305492,3.52291087594023,3.81942315980563,59.5311972795005,62.0847520974562,3.36511885468702,2.81410676053288
E9,12,1.28990570983993,1.79648030140605,2.05244651878956,1.42407748480757,54.7027965073069,54.8632240514184,6.35233042611776,6.58638296221654
E9,15,3.39840888537185,3.64096856026785,0.75737702822749,0.168635682164373,43.9825532881732,42.0501331224163,11.9590459356872,13.12423764028
E9,18,6.49977433418277,6.02164621763844,0.125214077598528,0.00347242042508192,27.4344368454472,25.9403986909202,20.3740214609423,21.2673975940495
E9,21,8.5728073783662,8.04437557548506,0,1.14411964416299e-05,10.4326029323399,12.7473703566268,28.1672706755696,27.9227507324971
E9,24,9.37185430221606,9.21893667490648,0,1.03579086441987e-08,1.77461557414074,5.33620323522275,32.3020880301065,31.6463847328356
E9,27,9.50778899113961,9.72830067650153,0,4.86946525512676e-12,0,2.05930167435768,33.5968757447193,33.2736222801243
E9,30,9.44995614606858,9.88680911295327,0,1.78070796362632e-15,0,0.770310064127294,33.7658891740441,33.8928134499078
