Set,t,w_exp,w_GA,x_exp,x_GA,y_exp,y_GA,z_exp,z_GA
E6,0,0.0457664830834099,0.0430307704384233,5.62996269219331,5.62996269219331,41.5260190013289,41.5260190013289,0.0645177614618135,0.0645177614618135
E6,3,0.146107332038493,0.102055518893699,4.89784351552354,5.14195553028771,40.7489223928799,40.4446253400315,0.426914296536627,0.7368665255132
E6,6,0.399394903650332,0.239614442434141,3.86168048015198,4.15155936398282,39.3074698541652,38.0671836642549,1.69258305474717,2.23752917876576
E6,9,0.842050277578616,0.549950915540418,2.5666273486269,2.5266138421456,34.0076253083243,33.1277144141132,4.82581717372602,5.31824214997253
E6,12,1.35652448896652,1.20297186218683,1.0635509076037,0.830777856330905,23.2257022886556,24.3034040889125,10.4362202846663,10.6523912432089
E6,15,2.07268736348747,2.40250172785881,0.195408069751342,0.08149587394681,10.5749569180702,12.7478431553299,16.9623675751729,17.4121328785903
E6,18,3.75396830500937,4.15478647940197,0,0.00110475686174958,2.71813655328226,3.86173711026089,21.0828617256287,22.5260515116255
E6,21,6.31400114394386,6.02343830506087,0,1.26839019496114e-06,0.284530170865872,0.589784984107999,23.2935787116964,24.3889250247577
E6,24,7.88096038090439,7.44426019362533,0,1.57262680759153e-10,0,0.0485738982852594,25.3809344145701,24.6763149633905
E6,27,8.25673940349673,8.25329248226441,0,4.48172814507125e-15,0,0.00266014801105443,26.0281057028712,24.677987318523
E6,30,8.27411075671911,8.6175933323434,0,6.01701639687371e-20,0,0.000118217834414168,25.57199512279,24.6546625305906
