Set,t,w_exp,w_GA,x_exp,x_GA,y_exp,y_GA,z_exp,z_GA
E5,0,0.0480410856460896,0.0334954254834841,4.71087010559681,4.71087010559681,42.2202773753081,42.2202773753081,0.04653330677103,0.04653330677103
E5,3,0.150666398469773,0.0827627438701561,4.46976114711931,4.55065203219279,41.2500749842364,41.1968712264347,0.34008623806732,0.601077060414803
E5,6,0.411741465144215,0.202662786788412,4.10940721726474,4.17937704027446,39.1604003782333,38.854016076725,1.48650178032057,1.90690058677403
E5,9,0.866684398954495,0.485781094985962,3.40436317100231,3.40071765427518,34.3027881183388,33.7753002400512,4.57217679775334,4.76001728435859
E5,12,1.37835801235366,1.110063282181,2.09788733211143,2.09933457329355,24.0824411720158,24.3772978075738,10.2053955293077,10.0143741421468
E5,15,2.06505017207361,2.30627564999317,0.759407101589514,0.734894476488078,10.9936714053572,12.007686446127,16.6748242315927,16.8186345813324
E5,18,3.69449493901467,4.10117595341422,0.120239260699145,0.0984440368423287,2.72265746610352,3.09733930573849,20.7164802492215,21.5941300650939
E5,21,6.21053867869736,6.01515901914618,0,0.00391552348298351,0.255945134507707,0.352667993426171,22.4484059342022,23.0139378045168
E5,24,7.79708894326117,7.42842692867504,0,5.29251620414429e-05,0,0.0194120992272294,23.423164283209,23.1632289445068
E5,27,8.2092540620733,8.19429203367819,0,3.60221044208831e-07,0,0.000673140714776177,23.7298094783251,23.1495987884365
E5,30,8.24172139403536,8.51683201285649,0,1.75850146468669e-09,0,1.86608956886042e-05,23.7682084375541,23.1266804625912
