strain,Parameter,Estimate,SE,MoE,CI95_low,CI95_high,PValue,R2_adj,R2_w,R2_x,R2_y,R2_z,RSS_global,RSS_w,RSS_x,RSS_y,RSS_z,AIC
E3,p9,0.0702370922034343,0.00681057626135796,0.0137872908363704,0.0564498013670639,0.0840243830398048,1.43981444771029e-12,0.997762885278664,0.996334964214685,0.999748751076415,0.998266155772307,0.994287780262948,3.54817758160157,0.183370270571294,0.00604426687655478,1.76053475484767,1.59822828930605,-96.5109725894562
E4,p1,0.300840129939008,0.0200382931331988,0.0405654036736049,0.260274726265403,0.341405533612613,1.46372983615854e-17,0.999796970144016,0.996867734650893,0.997650109612102,0.999885656182037,0.999766163698164,1.03124901306302,0.30780830628296,0.139443836101301,0.349601177680941,0.23439569299782,-150.880162750127
E4,p2,0.0383396213721396,0.00226632801849142,0.00458794121414421,0.0337516801579953,0.0429275625862838,2.78998807691565e-19,0.999796970144016,0.996867734650893,0.997650109612102,0.999885656182037,0.999766163698164,1.03124901306302,0.30780830628296,0.139443836101301,0.349601177680941,0.23439569299782,-150.880162750127
E4,p3,0.01,0.026549390830847,0.0537464318533846,-0.0437464318533846,0.0637464318533846,0.708524013292213,0.999796970144016,0.996867734650893,0.997650109612102,0.999885656182037,0.999766163698164,1.03124901306302,0.30780830628296,0.139443836101301,0.349601177680941,0.23439569299782,-150.880162750127
E4,p5,0.2220010708987,0.0140325393700617,0.0284073908056179,0.193593680093082,0.250408461704318,2.61501715119612e-18,0.999796970144016,0.996867734650893,0.997650109612102,0.999885656182037,0.999766163698164,1.03124901306302,0.30780830628296,0.139443836101301,0.349601177680941,0.23439569299782,-150.880162750127
E4,p7,0.12693263176991,0.00470355819547386,0.0095218557605376,0.117410776009373,0.136454487530448,2.14924049819165e-26,0.999796970144016,0.996867734650893,0.997650109612102,0.999885656182037,0.999766163698164,1.03124901306302,0.30780830628296,0.139443836101301,0.349601177680941,0.23439569299782,-150.880162750127
E4,p9,0.0674037493661843,0.00248549939794888,0.00503163047561443,0.0623721188905699,0.0724353798417988,1.80082313957775e-26,0.999796970144016,0.996867734650893,0.997650109612102,0.999885656182037,0.999766163698164,1.03124901306302,0.30780830628296,0.139443836101301,0.349601177680941,0.23439569299782,-150.880162750127
E5,p1,0.295931076325228,0.0366247730965542,0.0741429769112644,0.221788099413964,0.370074053236492,8.94644708972018e-10,0.999182797257851,0.99366311226566,0.999689921156797,0.999524051888618,0.997842568759624,4.63512720205546,0.739179551410574,0.0125457304169106,1.640231455688,2.24317046453998,-84.7528733543154
E5,p2,0.0324260240825888,0.00405712092286455,0.00821321191853213,0.0242128121640567,0.040639236001121,1.16591810178333e-09,0.999182797257851,0.99366311226566,0.999689921156797,0.999524051888618,0.997842568759624,4.63512720205546,0.739179551410574,0.0125457304169106,1.640231455688,2.24317046453998,-84.7528733543154
E5,p3,0.01,0.0487852007211492,0.0987604756251683,-0.0887604756251684,0.108760475625168,0.838681652490443,0.999182797257851,0.99366311226566,0.999689921156797,0.999524051888618,0.997842568759624,4.63512720205546,0.739179551410574,0.0125457304169106,1.640231455688,2.24317046453998,-84.7528733543154
