Set,t,w_exp,w_GA,x_exp,x_GA,y_exp,y_GA,z_exp,z_GA
E4,0,0.039401692722464,0.0580999699836468,6.0257993786493,6.0257993786493,40.9433651031741,40.9433651031741,0.191034264216812,0.191034264216812
E4,3,0.129325840355118,0.145331668496911,5.54249263992347,5.6554711604409,39.1753205310808,39.4363582364309,0.942170094499343,1.07666118455008
E4,6,0.388723970562404,0.356966769311576,4.62752677673555,4.83275962529433,35.9303234365871,36.0017283219319,3.01051871858636,3.12338993725755
E4,9,0.844471208656703,0.840385199259201,3.18863706254036,3.31175636254746,28.8072401741088,28.9693376009775,7.23659156777955,7.29291816804434
E4,12,1.58668069087442,1.81016138447513,1.57423981917266,1.41523219071904,17.5592378263825,17.7945869769673,13.6743855126768,13.7767600978404
E4,15,3.09438704555108,3.34278805961366,0.466137929069718,0.261143421817382,6.46892943518173,6.76242688158703,19.73473885133,19.9604443942092
E4,18,5.23219007301667,5.05343253943624,0.0615791608483766,0.0158133084033388,1.0668380414488,1.35903237534422,22.6514752647052,22.8800939270158
E4,21,6.64528028978143,6.35259694016271,0,0.00034281449174438,0,0.151801998090724,23.5081330481446,23.5020714751975
E4,24,7.18217092997965,7.0629094987856,0,3.82163793377718e-06,0,0.0115920993770651,23.7586634644928,23.5529322062304
E4,27,7.2759473634577,7.36154184963307,0,3.08376389145739e-08,0,0.000735847418306371,23.6900894931683,23.5350319711264
E4,30,7.21250482097849,7.44779845110047,0,2.20841208906723e-10,0,4.36289406358331e-05,23.6542365391067,23.5117575240613
