strain,objective,seed,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,w0,x0,y0,z0,W0,R2_adj,R2_w,R2_x,R2_y,R2_z,RSS_global,RSS_w,RSS_x,RSS_y,RSS_z,AIC,elapsed_sec
E1,0.0183618367734875,130425,0.219703689956323,0.0356098186343488,0.0974792862907935,0.00361014156541638,0.593461080087072,8.24233234113329e-07,0.329179503959261,0.000412587607476158,0.179209975988733,0.000335011195116715,0.0429500003964661,3.02952683177561,16.7141426522767,0.153811866158315,0,0.998479117846783,0.991708855131881,0.999099036605741,0.99862604970178,0.99883597805379,1.27022445364274,0.394249221308354,0.0122295610971082,0.673124946200275,0.190620725037004,-141.70955434185,32.3366724
E2,0.0141517829156708,130425,0.298572927053002,0.0550743047013797,0.01,0.00361014156541638,0.233775107303815,8.24233234113329e-07,0.149128369011438,0.000412587607476158,0.0721246403772843,0.000335011195116715,0.0650551956731953,3.85132423288129,24.3100257968021,0.603489031229986,0,0.99899428898079,0.994741967412605,0.999797684325015,0.999252336222244,0.997660913017668,1.68881011857716,0.235545795070897,0.00511923930245411,0.797484736597468,0.650660347606344,-129.177008421198,129.162144
E3,0.0186908332350496,130425,0.298115633210701,0.0513224964944988,0.01,0.00361014156541638,0.185645874228162,8.24233234113329e-07,0.14403835450761,0.000412587607476158,0.0702370922034343,0.000335011195116715,0.0584801335961872,3.69376368926291,23.3346337307678,0.124559998579405,0,0.997762885278664,0.996334964214685,0.999748751076415,0.998266155772307,0.994287780262948,3.54817758160157,0.183370270571294,0.00604426687655478,1.76053475484767,1.59822828930605,-96.5109725894562,34.6071491
E4,0.0102718834240649,130425,0.300840129939008,0.0383396213721396,0.01,0.00361014156541638,0.2220010708987,8.24233234113329e-07,0.12693263176991,0.000412587607476158,0.0674037493661843,0.000335011195116715,0.0580999698056862,6.0257993786493,40.9433651031741,0.191034264216812,0,0.999796970144016,0.996867734650893,0.997650109612102,0.999885656182037,0.999766163698164,1.03124901306302,0.30780830628296,0.139443836101301,0.349601177680941,0.23439569299782,-150.880162750127,205.5749223
E5,0.0163352190305304,130425,0.295931076325228,0.0324260240825888,0.01,0.00361014156541638,0.211657398029155,8.24233234113329e-07,0.142537112845008,0.000412587607476158,0.0732539887008438,0.000335011195116715,0.0334954254834841,4.71087010559681,42.2202773753081,0.04653330677103,0,0.999182797257851,0.99366311226566,0.999689921156797,0.999524051888618,0.997842568759624,4.63512720205546,0.739179551410574,0.0125457304169106,1.640231455688,2.24317046453998,-84.7528733543154,141.8442811
E6,0.0348072060115551,130425,0.282403238374691,0.0304255385462379,0.01,0.00361014156541638,0.441953473858644,8.24233234113329e-07,0.122586561923685,0.000412587607476158,0.070728467454661,0.000335011195116715,0.0430307704456984,5.62996269219331,41.5260190013289,0.0645177614618135,0,0.996885423257486,0.993287405966638,0.995593020924971,0.997132888149472,0.993789402837423,18.0306390896101,0.798936990457667,0.212382025980209,9.6913947310572,7.32792534211497,-24.982884392623,15.074268
E7,0.00696576782066036,130425,0.34159759785912,0.0400136583665276,0.01,0.00361014156541638,0.144553946167919,8.24233234113329e-07,0.0710927293291678,0.000412587607476158,0.0393865775223521,0.000335011195116715,0.0865631254054204,6.03753610860432,39.9933401802281,0.152615872209954,0,0.999418680485547,0.998218094387019,0.999908260066737,0.999702985094786,0.998215535959294,2.85319452073052,0.222260300107243,0.00568131067245568,0.879257896216695,1.74599501373412,-106.102746577014,114.5663183
E8,0.0496548476097431,130425,0.248650997921436,0.0250222853466728,0.01,0.00361014156541638,0.276855348745411,8.24233234113329e-07,0.076652944067037,0.000412587607476158,0.0410009973536433,0.000335011195116715,0.0665462753506206,4.9452768975505,68.1450389613455,0,0,0.996945632959412,0.99898630129934,0.976437467355486,0.995863764219216,0.996131589990783,48.1115190063926,0.124231353789944,0.806123785385518,37.0410935348672,10.1400703323499,18.2008780460897,49.2245443
E9,0.0545503890704866,130425,0.311223706665729,0.0300298873237045,0.01,0.00361014156541638,0.26847612405242,8.24233234113329e-07,0.0333139347034806,0.000412587607476158,0.0168979406920322,0.000335011195116715,0.0473373536860398,7.23641894520306,67.4580996886758,0,0,0.996589935963261,0.993339906817246,0.981342403279189,0.994122311512834,0.998439696209989,52.9308991278553,1.19842587674636,1.47438188701354,47.0661956062036,3.19189575789175,22.4013663827361,47.9080869
E10,0.0153945313787444,130425,0.337782204366464,0.025643761540931,0.01,0.00361014156541638,0.104901964620656,8.24233234113329e-07,0.0477946806073899,0.000412587607476158,0.0232807409018294,0.000335011195116715,0.0419740869590903,6.1345278989027,78.5438315764584,0.868635863887189,0,0.998731284312404,0.997350375146786,0.998639593397231,0.998561318378803,0.997220338942091,25.7939442736715,0.780417694493982,0.0961717649976008,16.793619582536,8.12373523164383,-9.22792478483539,106.1424704
