sheet,elapsed_sec,R2,R2_adj,RSS,AIC,cond_JTJ,used_pinv,w0_est,x0_fixed,y0_fixed,z0_fixed,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
E1,228.90229420003016,0.9754791125481622,0.9707111622103048,24.320036112568665,-8.976008933791011,93745.00027467143,False,0.04144519940018654,3.0825417041778564,16.7020320892334,0.11563242971897125,0.027070146054029465,0.00010145192936761305,0.006455447990447283,0.3705054819583893,8.242332114605233e-07,0.23306475579738617,0.0004125876002945006,0.11408433318138123,0.006813724525272846,1.0
E2,306.0634381999844,0.9859327454607434,0.9831974459669991,29.118543330916097,-1.0527240208698525,117197.89629137343,False,0.05684005469083786,3.88151216506958,24.68014144897461,0.508366584777832,0.015299879014492035,0.06577082723379135,0.007674538530409336,0.2055654525756836,8.242332114605233e-07,0.1392294317483902,0.0004125876002945006,0.06263680756092072,8.510464977007359e-05,1.0
E3,297.9944070999627,0.9838036888581275,0.9806544061360968,31.330296602217217,2.1685323847112827,77063.36639346667,False,0.037635061889886856,3.6852974891662598,23.26363182067871,0.1326395869255066,0.01710112951695919,0.09979671984910965,0.007326616905629635,0.1740562915802002,8.242332114605233e-07,0.13656187057495117,0.0004125876002945006,0.0652339980006218,0.002495173132047057,1.0
E4,298.9650701999781,0.9897799839153698,0.9877927585655806,63.933039521459406,33.55156345832215,628781.5224161791,False,0.03742613270878792,6.052127361297607,41.27791976928711,0.1707180142402649,0.009442029520869255,0.09989148378372192,0.0025378221180289984,0.25433972477912903,8.242332114605233e-07,0.17131400108337402,0.0004125876002945006,0.08684885501861572,2.9914172046119347e-05,1.0
E5,292.2888193000108,0.9877021501334395,0.985310901548275,85.02134757706166,46.094471627336205,479043.56382953067,False,0.03839559108018875,4.547883987426758,42.4019660949707,0.042393412441015244,0.008109251968562603,0.04943482205271721,0.0030116294510662556,0.15158268809318542,8.242332114605233e-07,0.12765242159366608,0.0004125876002945006,0.06135248765349388,2.1434670998132788e-05,1.0
E6,333.5127137999516,0.9803844151461947,0.9765702736468437,134.48243672422822,66.26984599443801,849177.823264447,False,0.052944689989089966,5.6045308113098145,41.20490264892578,0.06092072278261185,0.008069979958236217,0.037097252905368805,0.002961483784019947,0.28249067068099976,8.242332114605233e-07,0.12851373851299286,0.0004125876002945006,0.06567464023828506,2.1279947759467177e-05,1.0
E7,353.2789688000339,0.9888700538953935,0.9867058977083867,67.82928428280341,36.154504242602954,447416.68128060363,False,0.054560303688049316,6.101893901824951,40.325279235839844,0.1568724364042282,0.008598588407039642,0.09996920078992844,0.001703294226899743,0.22677189111709595,8.242332114605233e-07,0.13617166876792908,0.0004125876002945006,0.0696474090218544,2.1316905986168422e-05,1.0
E8,348.7437755999854,0.9787670853795215,0.9746384630922063,400.5260199723595,114.28903147590123,10571755.153588755,False,0.03132480010390282,5.180769443511963,68.1485595703125,0.019215669482946396,0.0041193426586687565,0.09997213631868362,0.00019180812523700297,0.3052111268043518,8.242332114605233e-07,0.15704858303070068,0.0004125876002945006,0.07712651789188385,1.6479729310958646e-05,1.0
E9,340.39803679997567,0.9608262211789176,0.9532090975192626,764.3274260351246,142.7226028992222,7430198.403346671,False,0.040792468935251236,7.242109298706055,68.10994720458984,0.01321801170706749,0.004734865389764309,0.0999571904540062,0.0015286405105143785,0.364128440618515,8.242332114605233e-07,0.09101942181587219,0.0004125876002945006,0.04585610702633858,1.7940697944140993e-05,1.0
E10,345.89979850000236,0.9777449651002295,0.9734175972030519,547.4228485180593,128.03651479444972,2642165.1403422146,False,0.02387319691479206,6.0969038009643555,78.09254455566406,0.8276510834693909,0.0047428905963897705,0.09993800520896912,0.00170499412342906,0.15627169609069824,8.242332114605233e-07,0.09413973242044449,0.0004125876002945006,0.04745309427380562,2.0035284251207486e-05,1.0
