param,estimate,SE,MOE_95,CI_low,CI_high,p_value
p1,0.010221078060567379,0.0010373785772788719,0.0021019286545903106,0.008119149405977069,0.01232300671515769,6.86304914357364e-12
p2,0.07508518546819687,0.0689458152229164,0.13969749116207084,-0.06461230569387397,0.2147826766302677,0.2831761203079759
p3,0.003238443285226822,0.0024318660112191953,0.004927428583028997,-0.001688985297802175,0.00816587186825582,0.19111471899205604
p4,0.17232079803943634,0.08727654184788733,0.17683907129143395,-0.0045182732519976065,0.3491598693308703,0.055833151188036445
p6,0.13574960827827454,0.041605381771620854,0.08430051096710686,0.051449097311167674,0.2200501192453814,0.0023762456814667727
p8,0.06772257387638092,0.021209886418855167,0.042975312003587805,0.024747261872793115,0.11069788587996873,0.002873091141331193
p9,0.00023868140124250203,0.005169668930621691,0.010474744223581427,-0.010236062822338925,0.010713425624823929,0.9634233937656469
w0 (estimated),0.01609210856258869,,,,,
x0 (fixed),4.547883987426758,,,,,
y0 (fixed),42.4019660949707,,,,,
z0 (fixed),0.042393412441015244,,,,,
W0 (fixed),0.0,,,,,
