param,estimate,SE,MOE_95,CI_low,CI_high,p_value
p1,0.005307761020958424,0.0012004423612927485,0.0024323272647522338,0.00287543375620619,0.007740088285710657,8.28418705978991e-05
p2,0.09955998510122299,0.10987111826816863,0.22262003173954314,-0.12306004663832015,0.32218001684076614,0.37071866028262124
p3,0.0019927993416786194,0.0024824739175576906,0.005029969941421739,-0.0030371705997431194,0.007022769283100358,0.4272473522946556
p4,0.17661648988723755,0.19139317750081558,0.387799413727345,-0.21118292384010745,0.5644159036145826,0.3620933000518245
p6,0.10924289375543594,0.07985904681016828,0.1618097987514518,-0.05256690499601585,0.27105269250688774,0.17958004512611142
p8,0.05436016246676445,0.04009628142508656,0.08124278321900447,-0.026882620752240016,0.13560294568576892,0.1833994104967939
p9,0.00015187266399152577,0.010029036870835924,0.02032075891912879,-0.020168886255137266,0.020472631583120317,0.9879992239249137
w0 (estimated),0.013857787474989891,,,,,
x0 (fixed),6.0969038009643555,,,,,
y0 (fixed),78.09254455566406,,,,,
z0 (fixed),0.8276510834693909,,,,,
W0 (fixed),0.0,,,,,
