param,estimate,SE,MOE_95,CI_low,CI_high,p_value
p1,0.025627072900533676,0.0014339042683516425,0.0029053660212393674,0.02272170687929431,0.028532438921773044,8.668244310125573e-20
p2,0.0006164705264382064,0.04892194515982864,0.0991252765595682,-0.09850880603312999,0.0997417470860064,0.9900137417356001
p3,0.007756901439279318,0.0023386943588445995,0.004738644883219623,0.0030182565560596952,0.01249554632249894,0.0020494013102926845
p4,0.38731276988983154,0.08537153782948448,0.17297916650730594,0.2143336033825256,0.5602919363971375,5.840740707826255e-05
p6,0.21093089878559113,0.025163101777715358,0.05098528716844124,0.15994561161714987,0.2619161859540324,4.4583620198021715e-10
p8,0.10867869853973389,0.013421774231112014,0.027195097787557482,0.08148360075217641,0.13587379632729138,1.0334028860569645e-09
p9,0.009832695126533508,0.0026825755225547473,0.005435414305306804,0.004397280821226705,0.015268109431840312,0.0007702252981512171
w0 (estimated),0.03141075745224953,,,,,
x0 (fixed),3.0825417041778564,,,,,
y0 (fixed),16.7020320892334,,,,,
z0 (fixed),0.11563242971897125,,,,,
W0 (fixed),0.0,,,,,
