t,w,x,y,z
0.0,0.026126675741670064,3.082541595098788,16.702032354113584,0.11563242744815669
3.0,0.12622579417032206,2.7010123628070217,15.778735338199443,0.6734732095187728
6.0,0.4088689281639285,1.9672010459293432,13.542725596110744,2.277388551384753
9.0,0.885933105837307,1.034490053501154,9.022462002846876,5.059158537467434
12.0,1.358723972577811,0.33092665972450697,3.592982951060028,8.024425646261097
15.0,1.5535880731596627,0.054263847113364405,0.6742472073345422,9.570917874747774
18.0,1.3338341407719563,0.0039079799648279985,0.05175064221906282,9.72188672921445
21.0,0.8528610431501968,0.00010895586099416124,0.0015026581157235165,9.724370576161544
24.0,0.5660771344683437,0.0,0.0,9.98851923762578
27.0,0.5162712811072299,0.0,0.0,10.12439385387663
30.0,0.518523383851572,0.0,0.0,10.116646692293614
