strain,objective,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,w0,x0,y0,z0,W0,R2_adj,R2_w,R2_x,R2_y,R2_z,RSS_global,RSS_w,RSS_x,RSS_y,RSS_z,AIC,elapsed_sec
E1,0.74947372349653,0.14011958944828,0.017914439330742,0.260641548890247,0.00361014156541638,0.644905170675836,8.24233234113329e-07,0.325640606757533,0.000412587607476158,0.176775926338292,0.000335011195116715,0.027324004550168,3.02952683177561,16.7141426522767,0.153811866158315,0,0.998102160760187,0.986886153593556,0.994893700297918,0.999496804152153,0.996896918941977,0.74947372349653,0.134714374393927,0.0556779321535558,0.185427969274726,0.373653447674322,-101.465170887388,0.065052
E2,1.04639626469056,0.265093806435476,0.0456978142931091,0.0517795263372278,0.00361014156541638,0.262729664746819,8.24233234113329e-07,0.154274383579287,0.000412587607476158,0.0773898910284097,0.000335011195116715,0.0571832537989427,3.85132423288129,24.3100257968021,0.603489031229986,0,0.998636174219505,0.993210195222667,0.999525962296113,0.999682438917058,0.996873086249878,1.04639626469056,0.15353497333696,0.00911549739236662,0.235602069476231,0.648143724484997,-90.7856139977096,0.1656851
E3,0.819230067927854,0.300271655986615,0.0538648765328933,0.0267224558931692,0.00361014156541638,0.213268878446816,8.24233234113329e-07,0.145832592726617,0.000412587607476158,0.0759321435118054,0.000335011195116715,0.046274035543008,3.69376368926291,23.3346337307678,0.124559998579405,0,0.998871956811786,0.990055771417695,0.998689825282788,0.999679890459763,0.998302574723948,0.819230067927854,0.216178359622467,0.022537051794729,0.219789128665676,0.360725527844983,-98.6173725063478,0.042615
E4,0.304767967541123,0.296760801263867,0.0360194915224307,0.0100000000000222,0.00361014156541638,0.239836899031651,8.24233234113329e-07,0.140002918358307,0.000412587607476158,0.0729647665089545,0.000335011195116715,0.0546542105197731,6.0257993786493,40.9433651031741,0.191034264216812,0,0.999860211433959,0.9986254053889,0.996834786530502,0.999969592094209,0.999927522483199,0.304767967541123,0.0559179712503784,0.137950589883373,0.0629539688205602,0.0479454375868107,-130.259427952888,0.049027
E5,0.917999776661333,0.15844944537146,0.0100000000000222,0.205449434322855,0.00361014156541638,0.23234385461894,8.24233234113329e-07,0.15482671141483,0.000412587607476158,0.0756074593920927,0.000335011195116715,0.0210771862615274,4.71087010559681,42.2202773753081,0.04653330677103,0,0.999571993861375,0.986146319921663,0.997795960728001,0.999905992459037,0.999445282775758,0.917999776661333,0.33472008353258,0.0600264948853853,0.200994219139147,0.322258979104221,-94.9747424357241,0.062675
E6,2.00432195922894,0.146005276730482,0.0100000000000222,0.245236893437086,0.00361014156541638,0.566188121238874,8.24233234113329e-07,0.148670572629486,0.000412587607476158,0.076609401539994,0.000335011195116715,0.0183417010590267,5.62996269219331,41.5260190013289,0.0645177614618135,0,0.999056897920321,0.985667204194327,0.981039682549097,0.999830600109265,0.998987740823742,2.00432195922894,0.364323508364453,0.69927958854972,0.356739110486141,0.583979751828626,-69.987095707202,0.0588593
E7,2.56659523986537,0.339320143507274,0.0395839302744259,0.0100000000000435,0.00361014156541638,0.155834485662438,8.24233234113329e-07,0.0740994366673218,0.000412587607476158,0.0404294263064258,0.000335011195116715,0.083924518595701,6.03753610860432,39.9933401802281,0.152615872209954,0,0.998805625703064,0.995608359837659,0.999601350529742,0.999646793010052,0.997619914652587,2.56659523986537,0.31235400018618,0.0189745578768125,0.712466674250887,1.52280000755149,-62.074315465151,0.0562247
E8,3.30414409920301,0.309778904317454,0.0426696227897949,0.0100000000000222,0.00361014156541638,0.441896879274579,8.24233234113329e-07,0.0998924843079304,0.000412587607476158,0.0496245151573148,0.000335011195116715,0.0287120504420651,4.9452768975505,68.1450389613455,0,0,0.999291229610428,0.998095717490239,0.938280021129329,0.999944880157133,0.998742446212336,3.30414409920301,0.0514700834080401,1.44727433712412,0.261448245254127,1.54395143341672,-53.9912032383511,0.0879454
E9,10.1553914818016,0.225704568599055,0.0100000000000222,0.0100000000000222,0.00361014156541638,0.204148483051985,8.24233234113329e-07,0.0316671796678773,0.000412587607476158,0.0155997260140448,0.000335011195116715,0.108893939464572,7.23641894520306,67.4580996886758,0,0,0.996038140938416,0.976379994441122,0.993240713658701,0.997103213772431,0.998744451126188,10.1553914818016,1.63669717139454,0.387542036539415,7.29496814686618,0.83618412700148,-18.0607303850221,0.1005804
E10,3.35764583796552,0.306455857090404,0.0215513217253998,0.0100000000000222,0.00361014156541638,0.0933512643297221,8.24233234113329e-07,0.040926541034819,0.000412587607476158,0.0218309774430464,0.000335011195116715,0.0626852644066344,6.1345278989027,78.5438315764584,0.868635863887189,0,0.999424946639772,0.995828451315108,0.999159936213297,0.999530193352857,0.999894348359685,3.35764583796552,0.487173435622088,0.0387367896211327,2.64752158277299,0.184214029949303,-53.4771995046164,0.0766418
