sheet,elapsed_sec,R2,R2_adj,RSS,AIC,cond_JTJ,used_pinv,w0,x0,y0,z0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
E1,70.62458329997025,0.9957873719733106,0.9947763412469051,2.171165370687768,-70.73509895094129,9909.406166931569,False,0.0632370188832283,3.029526948928833,16.714141845703125,0.15381187200546265,0.13306766748428345,0.009999999776482582,0.17918449640274048,0.0036101415753364563,0.4093114137649536,8.242332114605233e-07,0.2423969805240631,0.0004125876002945006,0.13168305158615112,0.0003350111946929246
E2,64.69248030008748,0.9986054258800979,0.9982707280913214,1.3768338314110617,-85.3103796701271,35143.184147355,False,0.068383127450943,3.8513243198394775,24.310026168823242,0.6034890413284302,0.18439246714115143,0.02835473231971264,0.13286936283111572,0.0036101415753364563,0.21715165674686432,8.242332114605233e-07,0.1373315453529358,0.0004125876002945006,0.0679590255022049,0.0003350111946929246
E3,59.48030950000975,0.9980999742649707,0.9976439680885636,1.778749097531275,-77.114417271652,45360.584003907454,False,0.06275366991758347,3.6937637329101562,23.334632873535156,0.12455999851226807,0.19339270889759064,0.030219806358218193,0.12249062955379486,0.0036101415753364563,0.16792385280132294,8.242332114605233e-07,0.12583503127098083,0.0004125876002945006,0.06466975063085556,0.0003350111946929246
E4,65.50484609999694,0.9996122084432764,0.9995191384696627,1.0978937628384933,-92.55495422558941,33129.41643904948,False,0.06841742992401123,6.02579927444458,40.94336700439453,0.1910342574119568,0.27981406450271606,0.030603747814893723,0.009999999776482582,0.0036101415753364563,0.21882334351539612,8.242332114605233e-07,0.1292426586151123,0.0004125876002945006,0.06804000586271286,0.0003350111946929246
E5,81.03619520005304,0.9984056212463909,0.9980229703455247,4.490407991842883,-47.48135482859352,31063.615124642816,False,0.032537974417209625,4.710870265960693,42.22027587890625,0.04653330519795418,0.19720835983753204,0.009999999776482582,0.11483640223741531,0.0036101415753364563,0.20621174573898315,8.242332114605233e-07,0.14482396841049194,0.0004125876002945006,0.07205374538898468,0.0003350111946929246
E6,88.42399390006904,0.9956476925166754,0.9946031387206775,12.284335575568239,-15.277151439744543,25573.363581213624,False,0.048066768795251846,5.629962921142578,41.52602005004883,0.06451775878667831,0.2063862383365631,0.009999999776482582,0.0821462869644165,0.0036101415753364563,0.43240034580230713,8.242332114605233e-07,0.13408011198043823,0.0004125876002945006,0.07236922532320023,0.0003350111946929246
E7,84.06658039998729,0.9989789292203032,0.9987338722331759,2.8496239960044214,-62.03356315038003,155293.08544667918,False,0.08459801971912384,6.037536144256592,39.99333953857422,0.15261587500572205,0.3445269465446472,0.040495410561561584,0.009999999776482582,0.0036101415753364563,0.14717040956020355,8.242332114605233e-07,0.0731535255908966,0.0004125876002945006,0.039885371923446655,0.0003350111946929246
E8,74.06896359997336,0.990881711461887,0.9886933222127399,56.50845374379325,33.55693913421114,111572.13076243881,False,0.06979016214609146,4.945276737213135,68.1450424194336,0.0,0.2529633045196533,0.02314588613808155,0.009999999776482582,0.0036101415753364563,0.2904163897037506,8.242332114605233e-07,0.08217095583677292,0.0004125876002945006,0.042417190968990326,0.0003350111946929246
E9,73.6188444000436,0.9800697449645571,0.9752864837560509,75.84944782975843,42.97646474247817,871628.1338087845,False,0.08804476261138916,7.236418724060059,67.45809936523438,0.0,0.266929566860199,0.0178084634244442,0.009999999776482582,0.0036101415753364563,0.22849418222904205,8.242332114605233e-07,0.03286124765872955,0.0004125876002945006,0.016559720039367676,0.0003350111946929246
E10,83.43714249995537,0.9992578330880252,0.9990797130291512,5.741170956182683,-39.61832684602638,419208.28760247194,False,0.05539410561323166,6.134527683258057,78.54383087158203,0.868635892868042,0.31063780188560486,0.020006541162729263,0.009999999776482582,0.0036101415753364563,0.10256240516901016,8.242332114605233e-07,0.04539133608341217,0.0004125876002945006,0.023447882384061813,0.0003350111946929246
