Set,t,w_exp,w_GA,x_exp,x_GA,y_exp,y_GA,z_exp,z_GA,I_GA
E10,0,0.0104468153344411,0.013753687599206,6.08929428228139,6.08929428228139,77.9388313549297,77.9388313549297,0.962472934288609,0.962472934288609,0
E10,3,0.0759233023085477,0.0538725230155478,6.01891153127457,5.99194381226723,76.3869824069836,77.073827170355,1.53607884075851,1.37335722446209,0.0883711024217036
E10,6,0.309236304986421,0.198476528443738,5.69160549992979,5.63628286529371,73.9143382942147,74.1319427938014,2.4377587888673,2.89411051227622,0.423939867587514
E10,9,0.783537863951422,0.602434610784972,4.6427203470287,4.59578572100993,69.495294786529,65.2963584878189,5.56807991496809,7.5547999407735,1.54316349646992
E10,12,1.29063519779034,1.20546845190643,2.98942248879776,2.79872775663437,57.7836476413764,48.0519383047096,12.6104381485301,16.658675646149,4.26316138748763
E10,15,1.47277452605251,1.51209852423141,1.3522426430838,1.30311983526842,36.639048779895,29.9740502527542,23.2173503997317,26.172087117781,8.45527212114265
E10,18,1.31657330733861,1.44062470231768,0.367663280824781,0.574332507352264,15.1421653828733,18.0757599260413,33.8768700733095,32.4529379903968,12.948488660742
E10,21,1.16987827890509,1.22275537280397,0.044240248426979,0.276476041519191,3.4794463941872,11.5091133261226,39.2571112814376,35.9710157557014,16.9578698890174
E10,24,1.01377683036689,0.989913578811038,0,0.151055860523534,0.317114472337414,7.92222474183403,38.9576200642212,37.9422694828623,20.2728992898619
E10,27,0.783081805006105,0.784371571009718,0,0.0931247422137227,0,5.87420645377934,38.344683733726,39.1045976711322,22.9256336354403
E10,30,0.648217043871793,0.614683905085858,0,0.0636184568590724,0,4.63991243333543,39.4104937737326,39.8297574753417,25.0152883563693
