Set,t,w_exp,w_GA,x_exp,x_GA,y_exp,y_GA,z_exp,z_GA,I_GA
E3,0,0.0213863261512806,0.0189606694912188,3.68882640952688,3.68882640952688,23.2938968059735,23.2938968059735,0.147774919632572,0.147774919632572,0
E3,3,0.13706417042842,0.0916130042520264,3.54123258399669,3.5877036772861,22.6661497885009,22.7526454013473,0.748796753940328,0.454745018226457,0.139120397633219
E3,6,0.478291898355794,0.381239515688332,3.07177603611696,3.1678663566619,20.6580262471647,20.5675588806511,2.31107138273902,1.75179827094335,0.762062239159593
E3,9,1.02209666480203,1.00669571286834,2.21559147103031,2.10824710780582,16.6872208470417,14.8228581034593,5.00732043807718,5.17898869017506,2.80029535660782
E3,12,1.41902792455893,1.38091219450684,1.16594317102096,1.00125548206565,10.1993639916826,8.15190313768622,8.44952655027144,9.12262196516581,6.52738918177016
E3,15,1.34257348001793,1.2715033269493,0.371315354284568,0.445324857222528,3.71700252098517,4.25358033868144,11.4375394870279,11.3594686348678,10.5828634623884
E3,18,0.884343127757213,1.01212107609313,0.0529515587584975,0.224293298440226,0.595906371722508,2.452047097564,12.707149342176,12.292748321016,14.0158701366596
E3,21,0.575521444482461,0.76738049812188,0,0.131878944139272,0,1.60018152850947,12.7556116397868,12.6077969762781,16.6741281104028
E3,24,0.511729470935557,0.572334551756234,0,0.0884978330407114,0,1.16092807604086,12.6592987767034,12.6335131931579,18.6708400131586
E3,27,0.518956905394704,0.425017498725209,0,0.0657763465043843,0,0.914123793802926,12.5321363310448,12.5124107962847,20.1560471589411
E3,30,0.523224308690793,0.315925944037048,0,0.0527666826101332,0,0.765194158052587,12.1139244812301,12.3111057986341,21.2591474394778
