strain,Parameter,Estimate,SE,MoE,CI95_low,CI95_high,PValue,R2_adj,R2_w,R2_x,R2_y,R2_z,RSS_global,RSS_w,RSS_x,RSS_y,RSS_z,AIC
E1,p1,0.0245880563706589,0.00150883964762213,0.00305719952193145,0.0215308568487274,0.0276452558925903,1.81307969551645e-18,0.995363420921675,0.952096902293171,0.995685478109435,0.993874308577037,0.99580159119667,3.85339991790025,0.124441059184132,0.060430972134256,2.97690938892031,0.691618497661557,-90.0391751983083
E1,p2,0.0001,0.0536996779750368,0.10880588278011,-0.10870588278011,0.10890588278011,0.998524177738174,0.995363420921675,0.952096902293171,0.995685478109435,0.993874308577037,0.99580159119667,3.85339991790025,0.124441059184132,0.060430972134256,2.97690938892031,0.691618497661557,-90.0391751983083
E1,p3,0.00843122508071952,0.00301528211706937,0.00610954189951241,0.0023216831812071,0.0145407669802319,0.00815380230590112,0.995363420921675,0.952096902293171,0.995685478109435,0.993874308577037,0.99580159119667,3.85339991790025,0.124441059184132,0.060430972134256,2.97690938892031,0.691618497661557,-90.0391751983083
E1,p4,0.359151552610523,0.0893435858317629,0.181027300232312,0.17812425237821,0.540178852842835,0.000274982136786778,0.995363420921675,0.952096902293171,0.995685478109435,0.993874308577037,0.99580159119667,3.85339991790025,0.124441059184132,0.060430972134256,2.97690938892031,0.691618497661557,-90.0391751983083
E1,p6,0.194630728603585,0.0257865218210636,0.0522484561615748,0.14238227244201,0.24687918476516,5.34739025322187e-09,0.995363420921675,0.952096902293171,0.995685478109435,0.993874308577037,0.99580159119667,3.85339991790025,0.124441059184132,0.060430972134256,2.97690938892031,0.691618497661557,-90.0391751983083
E1,p8,0.1,0.0138146649832857,0.0279911700684057,0.0720088299315943,0.127991170068406,1.36608047474041e-08,0.995363420921675,0.952096902293171,0.995685478109435,0.993874308577037,0.99580159119667,3.85339991790025,0.124441059184132,0.060430972134256,2.97690938892031,0.691618497661557,-90.0391751983083
E1,p9,0.00865978548775057,0.00314307020868694,0.00636846516761282,0.00229132032013776,0.0150282506553634,0.00904658869405749,0.995363420921675,0.952096902293171,0.995685478109435,0.993874308577037,0.99580159119667,3.85339991790025,0.124441059184132,0.060430972134256,2.97690938892031,0.691618497661557,-90.0391751983083
E2,p1,0.0186458461939491,0.00176032766956059,0.00356676265652527,0.0150790835374238,0.0222126088504744,9.34157673189298e-13,0.990053464527587,0.943485528327778,0.996599642628882,0.985489060750062,0.994875885083578,17.2240334382075,0.115780868504303,0.0858673041458061,15.6229191413765,1.39946612418087,-24.1557819182353
E2,p2,0.0730528436589525,0.0821105948608411,0.166371868441873,-0.0933190247829204,0.239424712100825,0.379381581881738,0.990053464527587,0.943485528327778,0.996599642628882,0.985489060750062,0.994875885083578,17.2240334382075,0.115780868504303,0.0858673041458061,15.6229191413765,1.39946612418087,-24.1557819182353
E2,p3,0.00799118329082233,0.00422872882210774,0.00856821846754867,-0.000577035176726337,0.016559401758371,0.0666476615468687,0.990053464527587,0.943485528327778,0.996599642628882,0.985489060750062,0.994875885083578,17.2240334382075,0.115780868504303,0.0858673041458061,15.6229191413765,1.39946612418087,-24.1557819182353
E2,p4,0.232155960938396,0.0920347907126833,0.1864801992785,0.0456757616598959,0.418636160216897,0.0160841708648383,0.990053464527587,0.943485528327778,0.996599642628882,0.985489060750062,0.994875885083578,17.2240334382075,0.115780868504303,0.0858673041458061,15.6229191413765,1.39946612418087,-24.1557819182353
E2,p6,0.159271863032486,0.0387653899360342,0.078546140914777,0.0807257221177092,0.237818003947263,0.000211525258646621,0.990053464527587,0.943485528327778,0.996599642628882,0.985489060750062,0.994875885083578,17.2240334382075,0.115780868504303,0.0858673041458061,15.6229191413765,1.39946612418087,-24.1557819182353
E2,p8,0.0766993303994731,0.0192810861869605,0.0390671915110341,0.037632138888439,0.115766521910507,0.000311103596112369,0.990053464527587,0.943485528327778,0.996599642628882,0.985489060750062,0.994875885083578,17.2240334382075,0.115780868504303,0.0858673041458061,15.6229191413765,1.39946612418087,-24.1557819182353
E2,p9,0.00722457048062971,0.00479441432733732,0.00971440617468965,-0.00248983569405994,0.0169389766553194,0.14033454281832,0.990053464527587,0.943485528327778,0.996599642628882,0.985489060750062,0.994875885083578,17.2240334382075,0.115780868504303,0.0858673041458061,15.6229191413765,1.39946612418087,-24.1557819182353
E3,p1,0.0200975168950563,0.00188691770596145,0.00382325843417527,0.016274258460881,0.0239207753292316,7.99784166754941e-13,0.988881852431048,0.936667307321225,0.995095759958428,0.983418429394673,0.995858587592331,18.1116979246128,0.126839122632687,0.117207930619075,16.7462637041597,1.12138716720128,-21.9446797388822
E3,p2,0.1,0.0832414419388847,0.168663182268243,-0.0686631822682435,0.268663182268243,0.237258943368801,0.988881852431048,0.936667307321225,0.995095759958428,0.983418429394673,0.995858587592331,18.1116979246128,0.126839122632687,0.117207930619075,16.7462637041597,1.12138716720128,-21.9446797388822
E3,p3,0.00753797299659555,0.00410127336420133,0.00830996917936678,-0.000771996182771232,0.0158479421759623,0.0741079816822281,0.988881852431048,0.936667307321225,0.995095759958428,0.983418429394673,0.995858587592331,18.1116979246128,0.126839122632687,0.117207930619075,16.7462637041597,1.12138716720128,-21.9446797388822
E3,p4,0.199780445310339,0.0808655563447575,0.163849180784404,0.0359312645259351,0.363629626094742,0.0182234410703813,0.988881852431048,0.936667307321225,0.995095759958428,0.983418429394673,0.995858587592331,18.1116979246128,0.126839122632687,0.117207930619075,16.7462637041597,1.12138716720128,-21.9446797388822
E3,p6,0.160093014213684,0.0414456743851536,0.0839769130643568,0.076116101149327,0.244069927278041,0.000435808445579509,0.988881852431048,0.936667307321225,0.995095759958428,0.983418429394673,0.995858587592331,18.1116979246128,0.126839122632687,0.117207930619075,16.7462637041597,1.12138716720128,-21.9446797388822
E3,p8,0.0818319059683,0.0218735519417716,0.0443200260840933,0.0375118798842066,0.126151932052393,0.000619745670975204,0.988881852431048,0.936667307321225,0.995095759958428,0.983418429394673,0.995858587592331,18.1116979246128,0.126839122632687,0.117207930619075,16.7462637041597,1.12138716720128,-21.9446797388822
E3,p9,0.01,0.00541010375526149,0.0109619114531163,-0.000961911453116323,0.0209619114531163,0.0725498337826811,0.988881852431048,0.936667307321225,0.995095759958428,0.983418429394673,0.995858587592331,18.1116979246128,0.126839122632687,0.117207930619075,16.7462637041597,1.12138716720128,-21.9446797388822
E4,p1,0.0104574879211525,0.00119563883144619,0.0024225943887812,0.00803489353237134,0.0128800823099337,1.54784976680895e-10,0.993395993683301,0.946324342240108,0.993226777384712,0.990402786750858,0.995404530848598,34.5699493584693,0.0937742668787778,0.389139006817229,29.4671733798182,4.61986270495504,6.4980979362151
E4,p2,0.1,0.0901467766558805,0.182654719426514,-0.0826547194265137,0.282654719426514,0.274458129648621,0.993395993683301,0.946324342240108,0.993226777384712,0.990402786750858,0.995404530848598,34.5699493584693,0.0937742668787778,0.389139006817229,29.4671733798182,4.61986270495504,6.4980979362151
