param,estimate,SE,MOE_95,CI_low,CI_high,p_value
p1,0.005046984180808067,0.0021806051472647164,0.0044183257142302495,0.0006286584665778179,0.009465309895038316,0.026295618456601735
p2,0.09978882223367691,0.1867520080694594,0.37839551120589004,-0.27860668897221313,0.47818433343956696,0.5963035948000058
p3,0.0014837590279057622,0.004339206580659172,0.008792067669257926,-0.0073083086413521636,0.010275826697163688,0.734328860865429
p4,0.3461743891239166,0.5031767668125389,1.019532972486922,-0.6733585833630054,1.3657073616108386,0.4957576055596481
p6,0.08883205056190491,0.08854207277735597,0.17940328052245355,-0.09057122996054864,0.2682353310843585,0.3222446895599993
p8,0.04436670243740082,0.04493936501103207,0.09105580267866725,-0.046689100241266435,0.13542250511606807,0.32992911060288377
p9,9.4261733465828e-05,0.018588960906905694,0.03766481248511507,-0.037570550751649244,0.0377590742185809,0.9959813110493481
w0 (estimated),0.03426378220319748,,,,,
x0 (fixed),7.242109298706055,,,,,
y0 (fixed),68.10994720458984,,,,,
z0 (fixed),0.01321801170706749,,,,,
W0 (fixed),0.0,,,,,
