param,estimate,SE,MOE_95,CI_low,CI_high,p_value
p1,0.00869134720414877,0.0016811037368503134,0.003406239721176176,0.005285107482972593,0.012097586925324946,8.332276345731116e-06
p2,0.099823497235775,0.1047963698148965,0.21233761467175452,-0.11251411743597953,0.3121611119075295,0.3470011708083376
p3,0.001683928887359798,0.0024353807573258327,0.004934550135099727,-0.003250621247739929,0.006618479022459525,0.4936026731229749
p4,0.22277992963790894,0.11384646176151371,0.23067484276371078,-0.007894913125801845,0.4534547724016197,0.05794366571839183
p6,0.13182459771633148,0.046259760193317914,0.09373117744523476,0.03809342027109672,0.22555577516156625,0.0071112392451574665
p8,0.06703323125839233,0.024185969734680204,0.049005429587459175,0.01802780167093316,0.11603866084585152,0.008679321283534141
p9,0.00012141653860453516,0.0060081562595708056,0.012173680929843531,-0.012052264391238996,0.012295097468448066,0.9839855411975551
w0 (estimated),0.05489613115787506,,,,,
x0 (fixed),6.101893901824951,,,,,
y0 (fixed),40.325279235839844,,,,,
z0 (fixed),0.1568724364042282,,,,,
W0 (fixed),0.0,,,,,
