param,estimate,SE,MOE_95,CI_low,CI_high,p_value
p1,0.009444632567465305,0.0013148203233467734,0.0026640790294027287,0.006780553538062577,0.012108711596868034,1.6179916152700082e-08
p2,0.04502011463046074,0.09426266338723632,0.19099429810026822,-0.14597418346980748,0.23601441273072896,0.6357423855684272
p3,0.0033449260517954826,0.003321165178901177,0.006729319853964288,-0.0033843938021688056,0.010074245905759772,0.32040205535459887
p4,0.35077089071273804,0.20405355415248838,0.41345177347807416,-0.06268088276533612,0.7642226641908122,0.09396923371364455
p6,0.12934519350528717,0.04652199318937405,0.09426251196540125,0.03508268153988592,0.22360770547068842,0.00848930574528964
p8,0.07099603116512299,0.02597429586505046,0.0526289225142534,0.018367108650869587,0.12362495367937638,0.009559880059195848
p9,0.00011026342690456659,0.006082481696024734,0.01232427856899783,-0.012214015142093264,0.012434541995902397,0.9856341197326862
w0 (estimated),0.0263363104313612,,,,,
x0 (fixed),5.6045308113098145,,,,,
y0 (fixed),41.20490264892578,,,,,
z0 (fixed),0.06092072278261185,,,,,
W0 (fixed),0.0,,,,,
