t,w,x,y,z
0.0,0.01808571278619201,4.5478839006247185,42.40196474873706,0.04239341112800876
3.0,0.10742528458446071,4.257823494243091,41.413302145415784,0.32844303763637844
6.0,0.37064357236029843,3.9130054594282364,39.18299372461442,1.5335061782216544
9.0,0.8351812917048154,3.3177981555576137,34.184018785191725,4.650732762799976
12.0,1.3630464514825849,2.1053495514292475,23.735415343246526,10.26454212444827
15.0,1.6791658186882685,0.7902574928188215,10.613978198790212,16.730515021000294
18.0,1.5541835673064515,0.1428579354123073,2.6151683586268417,20.773367228154818
21.0,1.1269371187601789,0.01077701043771487,0.33232231003298796,22.521234404593123
24.0,0.8584686929666329,0.00030950004824966716,0.020285709688633614,23.680952941392892
27.0,0.8042385098074109,0.0,0.0004969256558155937,24.17207680347657
30.0,0.8020779778330156,0.0,0.0,24.154732753814685
