param,estimate,SE,MOE_95,CI_low,CI_high,p_value
p1,0.3373393416404724,0.11688307859342334,0.2366174221645902,0.10072191947588222,0.5739567638050627,0.006397780245960988
p2,0.026211291551589966,0.007196860891220111,0.014569283186672284,0.011642008364917682,0.04078057473826225,0.0008036931368323807
p3,0.009999999776482582,0.1300791060418873,0.2633313831180828,-0.2533313833416002,0.2733313828945654,0.9391253047213551
p5,0.10574453324079514,0.04653511751865623,0.0942054203217253,0.011539112919069838,0.19994995356252043,0.02880810354658173
p7,0.04819052666425705,0.0067130783479398635,0.01358991662945326,0.03460061003480379,0.06178044329371031,1.411648221080569e-08
p9,0.023462746292352676,0.003242529689016979,0.006564158178757264,0.016898588113595413,0.03002690447110994,1.1818523921642617e-08
w0 (estimated),0.04740378260612488,,,,,
x0 (fixed),6.134527683258057,,,,,
y0 (fixed),78.54383087158203,,,,,
z0 (fixed),0.868635892868042,,,,,
W0 (fixed),0.0,,,,,
