Set,t,w_exp,w_GA,x_exp,x_GA,y_exp,y_GA,z_exp,z_GA,I_GA
E6,0,0.0177119866023229,0.0188763627585534,5.52045686454944,5.52045686454944,41.0028590586077,41.0028590586077,0.0571779895663814,0.0571779895663814,0
E6,3,0.0998263065087431,0.0725967497560078,4.88776040847206,5.28099541392515,40.2817346942902,40.3192268717868,0.401287765276133,0.463344594006906,0.120016882241596
E6,6,0.344136302857158,0.258792043144824,3.96621285563238,4.48174577316524,39.0387943976295,38.0138684095727,1.67663970907475,1.90145504197561,0.564156151403726
E6,9,0.800953964520618,0.736718850960537,2.69066284487811,2.6625037615072,33.8483626121732,31.6204199645746,4.92866322596395,5.87594763784375,1.97356128947592
E6,12,1.34990650536567,1.3631556148839,1.12132426827303,0.821933701302761,23.1795395295281,20.8994191083145,10.6844843399429,12.3863540209256,5.15471067033713
E6,15,1.69672075392727,1.63472344576977,0.205730406152426,0.149309316380189,10.8241020632873,11.4659173078119,17.1820182100555,18.0663508783944,9.77108434031846
E6,18,1.58061946266103,1.5292727170692,0,0.0252661319191722,2.94667562470643,6.13571826987094,21.1278541559807,21.3843846581707,14.5793959758117
E6,21,1.14402701796765,1.28320270231455,0,0.00529052286584143,0.346205776685902,3.53847154656864,23.0852933062742,23.1287264426873,18.8111887308639
E6,24,0.864026481822384,1.02741278553097,0,0.00147303481654233,0,2.2554593197987,24.9595557849389,24.0873844559929,22.2717338808441
E6,27,0.803901047357274,0.804584062219583,0,0.000535650553003485,0,1.57900396968038,25.61255005239,24.6580038725626,25.0096472333023
E6,30,0.805504095365098,0.622757013958552,0,0.000243753087791926,0,1.19603298211743,25.2189203437734,25.0225449028486,27.140560603415
