param,estimate,SE,MOE_95,CI_low,CI_high,p_value
p1,0.008680074475705624,0.0015985491134556118,0.003238968165465625,0.005441106310239998,0.01191904264117125,3.7138160091343855e-06
p2,0.0999697893857956,0.10966471107303533,0.2222018110364491,-0.1222320216506535,0.3221716004222447,0.36788334702228487
p3,0.0017816812032833695,0.0023675030006775014,0.004797016736171554,-0.003015335532888184,0.006578697939454923,0.4564775470971494
p4,0.2382207214832306,0.11392721043920961,0.23083845512585777,0.007382266357372824,0.46905917660908836,0.04345356823028186
p6,0.1474636197090149,0.04975005578001444,0.10080318805674304,0.04666043165227185,0.24826680776575794,0.0052851569533514655
p8,0.07634256780147552,0.02633452254064781,0.053358811089330785,0.02298375671214474,0.1297013788908063,0.006262083442692876
p9,2.2675520085613243e-05,0.005389277225220863,0.010919712894916944,-0.010897037374831331,0.010942388415002557,0.9966654946950391
w0 (estimated),0.04951280727982521,,,,,
x0 (fixed),6.101893901824951,,,,,
y0 (fixed),40.325279235839844,,,,,
z0 (fixed),0.1568724364042282,,,,,
W0 (fixed),0.0,,,,,
