param,estimate,SE,MOE_95,CI_low,CI_high,p_value
p1,0.0079745352268219,0.0014659345490824296,0.0029702655346447947,0.005004269692177104,0.010944800761466695,3.600749897622231e-06
p2,0.046591926366090775,0.11401928945807965,0.23102502493989538,-0.1844330985738046,0.2776169513059862,0.6851652812255435
p3,0.0029984735883772373,0.003983466906368216,0.008071270622409163,-0.005072797034031925,0.0110697442107864,0.4563751010305144
p4,0.15066777169704437,0.09526888266791299,0.19303309202292984,-0.04236532032588547,0.3437008637199742,0.12227549486086868
p6,0.12717942893505096,0.049462758868838184,0.10022106922066616,0.026958359714384802,0.2274004981557171,0.014288828845649935
p8,0.06092461571097374,0.024417389717907963,0.04947433101326958,0.011450284697704156,0.11039894672424333,0.017179836373036193
p9,2.2613083274336532e-05,0.00772692769151349,0.015656242650915548,-0.01563362956764121,0.015678855734189884,0.997680692707734
w0 (estimated),0.03975002095103264,,,,,
x0 (fixed),4.547883987426758,,,,,
y0 (fixed),42.4019660949707,,,,,
z0 (fixed),0.042393412441015244,,,,,
W0 (fixed),0.0,,,,,
