param,estimate,SE,MOE_95,CI_low,CI_high,p_value
p1,0.007978481240570545,0.001974377194151091,0.004000468189965501,0.003978013050605044,0.011978949430536047,0.0002583722627909407
p2,0.03502889722585678,0.15257576668871772,0.3091478685055677,-0.2741189712797109,0.34417676573142447,0.8196797995639062
p3,0.0029466943815350533,0.004988426419581452,0.010107512013731224,-0.00716081763219617,0.013054206395266277,0.558308555998672
p4,0.28035417199134827,0.2093829772325842,0.4242502103552577,-0.1438960383639094,0.7046043823466059,0.18875422482872783
p6,0.1283232718706131,0.059681301259892724,0.12092580279656433,0.007397469074048771,0.24924907466717744,0.03814815168643453
p8,0.06531668454408646,0.031148475418702935,0.06311280612822337,0.0022038784158630864,0.12842949067230983,0.042891448027550565
p9,2.276622581121046e-05,0.008624132892005787,0.01747415306594356,-0.01745138684013235,0.01749691929175477,0.9979079065619331
w0 (estimated),0.053867027163505554,,,,,
x0 (fixed),5.6045308113098145,,,,,
y0 (fixed),41.20490264892578,,,,,
z0 (fixed),0.06092072278261185,,,,,
W0 (fixed),0.0,,,,,
