t,w,x,y,z
0.0,0.011317055387809354,6.096903825273653,78.09254306491923,0.8276510621150891
3.0,0.07794941350441992,6.013958514846131,76.47092850533605,1.5006953915235552
6.0,0.31484534773558637,5.671453914341007,73.76732567695538,2.51877450008278
9.0,0.7811550621124745,4.628592391334552,69.24639253972384,5.688456307289201
12.0,1.2843313366405946,2.98892916094022,57.61085236473474,12.708707755697837
15.0,1.4654591313559522,1.3688653068919387,36.63624829950902,23.17925652414795
18.0,1.3102420281789011,0.386807478337715,15.338058651315448,33.74930364188168
21.0,1.1687225208241603,0.05826765101628044,3.748214216185337,39.136315429694285
24.0,1.015880661172121,0.004014347759632035,0.49040613818099976,38.89054382645508
27.0,0.775168303733831,0.00010865925887235882,0.030847922659676952,38.50516484956076
30.0,0.6437038599044507,0.0,0.0007788704803219279,39.788370711551806
