param,estimate,SE,MOE_95,CI_low,CI_high,p_value
p1,0.027107642963528633,0.004966770200940367,0.010063632346742946,0.017044010616785687,0.037171275310271576,3.405470828984061e-06
p2,3.806440145126544e-05,0.15004117915858084,0.3040123063551168,-0.3039742419536655,0.30405037075656804,0.9997989451620362
p3,0.006743574049323797,0.005200990677134317,0.010538208110294217,-0.0037946340609704195,0.017281782159618016,0.20279933370276346
p4,0.37577784061431885,0.23788836678799363,0.48200761582813695,-0.1062297752138181,0.8577854564424559,0.12270168359904655
p6,0.228593111038208,0.07913929869482089,0.16035145054485553,0.06824166049335248,0.38894456158306356,0.006433976286967719
p8,0.11277597397565842,0.039903201395291875,0.08085156591787303,0.03192440805778539,0.19362753989353143,0.007551366473468658
p9,0.007013378199189901,0.006972379238527245,0.014127382262484544,-0.007114004063294642,0.021140760461674443,0.3210064807601856
w0 (estimated),0.04085468500852585,,,,,
x0 (fixed),3.0825417041778564,,,,,
y0 (fixed),16.7020320892334,,,,,
z0 (fixed),0.11563242971897125,,,,,
W0 (fixed),0.0,,,,,
