Experiment,Parameter,Estimate,SE,MoE,CI95_low,CI95_high,PValue,R2_adj,RSS_global,AIC,cond_JTJ,used_pinv
E1,p1,0.173876613378525,0.0345534016218192,0.0699497045865171,0.103926908792008,0.243826317965042,1.20088066192439e-05,0.995718535700733,2.63337548489872,-109.630348607719,7998.73619990211,0
E1,p2,0.0273725911974907,0.0070646647389378,0.0143016660675004,0.0130709251299903,0.0416742572649911,0.000408933966760859,0.995718535700733,2.63337548489872,-109.630348607719,7998.73619990211,0
E1,p3,0.126128673553467,0.0556467257912861,0.112650906932689,0.0134777666207776,0.238779580486156,0.0291912034142268,0.995718535700733,2.63337548489872,-109.630348607719,7998.73619990211,0
E1,p5,0.397327691316605,0.0726461357199413,0.147064413182206,0.250263278134399,0.544392104498811,3.04108847160851e-06,0.995718535700733,2.63337548489872,-109.630348607719,7998.73619990211,0
E1,p7,0.232792809605598,0.0231975212579474,0.0469609266518126,0.185831882953786,0.279753736257411,3.09579382309411e-12,0.995718535700733,2.63337548489872,-109.630348607719,7998.73619990211,0
E1,p9,0.126716107130051,0.0125272366008881,0.0253600646647822,0.101356042465268,0.152076171794833,2.48052707866311e-12,0.995718535700733,2.63337548489872,-109.630348607719,7998.73619990211,0
E2,p1,0.294997125864029,0.0454081601554934,0.0919240144127609,0.203073111451268,0.38692114027679,1.18940321511703e-07,0.998624885755163,1.67416863301756,-129.560138665347,32338.6424602983,0
E2,p2,0.0545892640948296,0.00667147567768641,0.013505696426589,0.0410835676682405,0.0680949605214186,6.57376388200275e-10,0.998624885755163,1.67416863301756,-129.560138665347,32338.6424602983,0
E2,p3,0.00999999977648258,0.0587632077870331,0.118959894896816,-0.108959895120334,0.128959894673299,0.86577570771574,0.998624885755163,1.67416863301756,-129.560138665347,32338.6424602983,0
E2,p5,0.22523744404316,0.0270115344054275,0.0546819926086547,0.170555451434505,0.279919436651814,4.11918924134968e-10,0.998624885755163,1.67416863301756,-129.560138665347,32338.6424602983,0
E2,p7,0.14413432776928,0.00941598517390424,0.0190616654335334,0.125072662335746,0.163195993202813,7.75458315260534e-18,0.998624885755163,1.67416863301756,-129.560138665347,32338.6424602983,0
E2,p9,0.0697591006755829,0.00454615329968575,0.00920320620813297,0.0605558944674499,0.0789623068837159,7.15991843579403e-18,0.998624885755163,1.67416863301756,-129.560138665347,32338.6424602983,0
E3,p1,0.280859082937241,0.0626421895484718,0.126812482936594,0.154046600000647,0.407671565873834,6.56576276104008e-05,0.997134621894754,3.37602474310729,-98.6993217657756,30724.916978828,0
E3,p2,0.0489909797906876,0.00883299988093052,0.0178814734087909,0.0311095063818967,0.0668724531994784,2.38542430486633e-06,0.997134621894754,3.37602474310729,-98.6993217657756,30724.916978828,0
E3,p3,0.0281487796455622,0.0800866477038622,0.162126942218973,-0.13397816257341,0.190275721864535,0.727170474407802,0.997134621894754,3.37602474310729,-98.6993217657756,30724.916978828,0
E3,p5,0.17625929415226,0.0300519834064592,0.0608370598220154,0.115422234330244,0.237096353974275,8.71662172240569e-07,0.997134621894754,3.37602474310729,-98.6993217657756,30724.916978828,0
E3,p7,0.136557519435883,0.0125757316911247,0.0254582378424356,0.111099281593447,0.162015757278318,3.29228322038291e-13,0.997134621894754,3.37602474310729,-98.6993217657756,30724.916978828,0
E3,p9,0.0667601302266121,0.00614293250459731,0.0124357167116119,0.0543244135150002,0.079195846938224,3.21435578132672e-13,0.997134621894754,3.37602474310729,-98.6993217657756,30724.916978828,0
E4,p1,0.293957382440567,0.0242065963422793,0.0490036923634831,0.244953690077084,0.34296107480405,1.1883515572278e-14,0.999598829203341,1.45583928638516,-135.708440830237,44027.6984673279,0
E4,p2,0.0381189174950123,0.00274245555499826,0.00555181102032643,0.0325671064746859,0.0436707285153387,1.76308399317759e-16,0.999598829203341,1.45583928638516,-135.708440830237,44027.6984673279,0
E4,p3,0.00999999977648258,0.0318365455983621,0.0644497171084416,-0.054449717331959,0.0744497168849242,0.755159726003307,0.999598829203341,1.45583928638516,-135.708440830237,44027.6984673279,0
E4,p5,0.206012263894081,0.0151822311057217,0.0307348200455858,0.175277443848495,0.236747083939667,3.78635960748437e-16,0.999598829203341,1.45583928638516,-135.708440830237,44027.6984673279,0
E4,p7,0.118598289787769,0.00503545206820799,0.0101937397795387,0.108404550008231,0.128792029567308,2.84758166674702e-24,0.999598829203341,1.45583928638516,-135.708440830237,44027.6984673279,0
E4,p9,0.0630980506539345,0.0026652988887615,0.00539561551548984,0.0577024351384446,0.0684936661694243,2.37140562770667e-24,0.999598829203341,1.45583928638516,-135.708440830237,44027.6984673279,0
E5,p1,0.280964970588684,0.0628685015935,0.127270627719772,0.153694342868912,0.408235598308456,6.86267007884868e-05,0.99658194109073,13.6558820624306,-37.2105782601468,28484.1087254965,0
E5,p2,0.0307132322341204,0.00691515696923305,0.0139990034110506,0.0167142288230698,0.0447122356451709,7.46787557120471e-05,0.99658194109073,13.6558820624306,-37.2105782601468,28484.1087254965,0
E5,p3,0.00999999977648258,0.0821842629116265,0.166373342203704,-0.156373342427221,0.176373341980186,0.903795386353001,0.99658194109073,13.6558820624306,-37.2105782601468,28484.1087254965,0
E5,p5,0.178540617227554,0.0470361696209225,0.095219747273369,0.0833208699541853,0.273760364500923,0.000514941670801962,0.99658194109073,13.6558820624306,-37.2105782601468,28484.1087254965,0
E5,p7,0.121220350265503,0.0160517906123104,0.032495151235898,0.0887251990296049,0.153715501501401,4.46299791711476e-09,0.99658194109073,13.6558820624306,-37.2105782601468,28484.1087254965,0
E5,p9,0.0625237971544266,0.00825324733611143,0.016707825740546,0.0458159714138806,0.0792316228949726,4.14836071022027e-09,0.99658194109073,13.6558820624306,-37.2105782601468,28484.1087254965,0
E6,p1,0.27006796002388,0.0731704473705188,0.148125826627706,0.121942133396174,0.418193786651586,0.000698113128951311,0.994779922650746,21.2336487133472,-17.7882400402237,36133.6433684251,0
E6,p2,0.0295493733137846,0.00801268858753073,0.0162208400138412,0.0133285332999434,0.0457702133276258,0.000704430582461957,0.994779922650746,21.2336487133472,-17.7882400402237,36133.6433684251,0
E6,p3,0.00999999977648258,0.0983740260392346,0.199147804194351,-0.189147804417868,0.209147803970833,0.919566733190066,0.994779922650746,21.2336487133472,-17.7882400402237,36133.6433684251,0
E6,p5,0.362445920705795,0.10312041352113,0.208756363312364,0.153689557393431,0.57120228401816,0.00115563731226563,0.994779922650746,21.2336487133472,-17.7882400402237,36133.6433684251,0
E6,p7,0.108283005654812,0.0168677345456331,0.034146943372596,0.0741360622822159,0.142429949027408,1.51560639786383e-07,0.994779922650746,21.2336487133472,-17.7882400402237,36133.6433684251,0
E6,p9,0.0624789297580719,0.00959759061275483,0.0194293064240772,0.0430496233339947,0.0819082361821491,1.14072725254334e-07,0.994779922650746,21.2336487133472,-17.7882400402237,36133.6433684251,0
E7,p1,0.339799970388412,0.046196046958836,0.0935190078592709,0.246280962529142,0.433318978247683,8.16382274358759e-09,0.999177543442348,2.91953858127945,-105.091347940041,180805.913104274,0
E7,p2,0.0401887446641922,0.0038052460178302,0.00770331783074472,0.0324854268334475,0.0478920624949369,7.32054190754374e-13,0.999177543442348,2.91953858127945,-105.091347940041,180805.913104274,0
E7,p3,0.00999999977648258,0.0545239425004129,0.110377950991308,-0.100377951214825,0.12037795076779,0.855454862332542,0.999177543442348,2.91953858127945,-105.091347940041,180805.913104274,0
E7,p5,0.143356263637543,0.0145837446196019,0.0295232474959047,0.113833016141638,0.172879511133447,5.48851920036855e-12,0.999177543442348,2.91953858127945,-105.091347940041,180805.913104274,0
E7,p7,0.0705748349428177,0.00330536727854446,0.00669136622827099,0.0638834687145467,0.0772662011710887,9.17457094458097e-23,0.999177543442348,2.91953858127945,-105.091347940041,180805.913104274,0
E7,p9,0.0390565805137157,0.00181877763384989,0.00368192282741934,0.0353746576862964,0.0427385033411351,7.50277311941596e-23,0.999177543442348,2.91953858127945,-105.091347940041,180805.913104274,0
E8,p1,0.250254988670349,0.0838225745283057,0.169689930679178,0.080565057991171,0.419944919349527,0.00493134270156148,0.995106874654815,49.4013811119644,19.364975165413,75773.989883147,0
E8,p2,0.0260364543646574,0.00923521499144079,0.0186957153311451,0.00734073903351234,0.0447321696958025,0.0076039018581643,0.995106874654815,49.4013811119644,19.364975165413,75773.989883147,0
E8,p3,0.00999999977648258,0.103413045911804,0.209348766616216,-0.199348766839734,0.219348766392699,0.923473174098837,0.995106874654815,49.4013811119644,19.364975165413,75773.989883147,0
E8,p5,0.264613717794418,0.115456116422968,0.233728688274597,0.0308850295198211,0.498342406069015,0.0275426038040027,0.995106874654815,49.4013811119644,19.364975165413,75773.989883147,0
E8,p7,0.0753654092550278,0.0116619010229835,0.0236082843710469,0.0517571248839808,0.0989736936260747,1.3237941495708e-07,0.995106874654815,49.4013811119644,19.364975165413,75773.989883147,0
E8,p9,0.0404019765555859,0.00616356032577307,0.0124774755524144,0.0279245010031715,0.0528794521080002,9.89913372281455e-08,0.995106874654815,49.4013811119644,19.364975165413,75773.989883147,0
