Experiment,Parameter,Estimate,SE,MoE,CI95_low,CI95_high,PValue,R2_adj,RSS_global,AIC,cond_JTJ,used_pinv
E1,p1,0.165467172861099,0.0986031932291604,0.199611728916197,-0.0341445560550973,0.365078901777296,0.101532479091395,0.96165881254822,28.1151188199906,-5.43654503239201,20794.1671131683,0
E1,p2,0.0258597452193499,0.0208477684870902,0.0422041008558532,-0.0163443556365034,0.0680638460752031,0.222428855432711,0.96165881254822,28.1151188199906,-5.43654503239201,20794.1671131683,0
E1,p3,0.273177742958069,0.168069020061474,0.340237943346852,-0.067060200388783,0.613415686304921,0.112345856900399,0.96165881254822,28.1151188199906,-5.43654503239201,20794.1671131683,0
E1,p5,0.681706309318542,0.425711019223603,0.861806902829278,-0.180100593510736,1.54351321214782,0.117584311940402,0.96165881254822,28.1151188199906,-5.43654503239201,20794.1671131683,0
E1,p7,0.333459705114365,0.121125999603118,0.245206766694556,0.0882529384198088,0.57866647180892,0.00900533504772803,0.96165881254822,28.1151188199906,-5.43654503239201,20794.1671131683,0
E1,p9,0.179568707942963,0.0644965935938227,0.130566527663537,0.0490021802794258,0.310135235606499,0.00831880614773823,0.96165881254822,28.1151188199906,-5.43654503239201,20794.1671131683,0
E2,p1,0.32375580072403,0.168276848895419,0.340658670825383,-0.0169028701013532,0.664414471549412,0.0618751584766731,0.983469331755449,23.1610931628806,-13.9652241314628,18879.2111225748,0
E2,p2,0.0618196688592434,0.0265481924340656,0.0537440058259344,0.00807566303330902,0.115563674685178,0.0253005630035278,0.983469331755449,23.1610931628806,-13.9652241314628,18879.2111225748,0
E2,p3,0.0747523382306099,0.219721994475048,0.444803923298384,-0.370051585067774,0.519556261528994,0.73556948772709,0.983469331755449,23.1610931628806,-13.9652241314628,18879.2111225748,0
E2,p5,0.364938825368881,0.183721697984194,0.371925133183201,-0.00698630781431941,0.736863958552082,0.0542395110739184,0.983469331755449,23.1610931628806,-13.9652241314628,18879.2111225748,0
E2,p7,0.211043357849121,0.0629115519320582,0.127357778573903,0.0836855792752177,0.338401136423024,0.0018120066720011,0.983469331755449,23.1610931628806,-13.9652241314628,18879.2111225748,0
E2,p9,0.105658084154129,0.0314268549484802,0.0636203417478112,0.0420377424063178,0.16927842590194,0.00177494476829358,0.983469331755449,23.1610931628806,-13.9652241314628,18879.2111225748,0
E3,p1,0.274670302867889,0.215892521465181,0.437051560486353,-0.162381257618463,0.711721863354242,0.211013015072718,0.971159651874877,38.8109019408447,8.74877851870999,19769.8793092225,0
E3,p2,0.0514111779630184,0.0335710393411198,0.0679610161186221,-0.0165498381556037,0.119372194081641,0.13395055335086,0.971159651874877,38.8109019408447,8.74877851870999,19769.8793092225,0
E3,p3,0.130504861474037,0.268158010799662,0.542857512069079,-0.412352650595042,0.673362373543116,0.629286450380824,0.971159651874877,38.8109019408447,8.74877851870999,19769.8793092225,0
E3,p5,0.240671932697296,0.157722435103929,0.319292377142378,-0.0786204444450816,0.559964309839674,0.13531060417972,0.971159651874877,38.8109019408447,8.74877851870999,19769.8793092225,0
E3,p7,0.170582234859467,0.061648509505146,0.124800882856089,0.0457813520033773,0.295383117715556,0.00869029079364115,0.971159651874877,38.8109019408447,8.74877851870999,19769.8793092225,0
E3,p9,0.0868261307477951,0.0313911574579163,0.0635480759562475,0.0232780547915476,0.150374206704043,0.00871399630443342,0.971159651874877,38.8109019408447,8.74877851870999,19769.8793092225,0
E4,p1,0.36236497759819,0.212281464439553,0.429741357718116,-0.067376380119926,0.792106335316307,0.0959817950633063,0.97682360457667,96.2279876145545,48.7016172416212,30562.190374842,0
E4,p2,0.0484805032610893,0.0247576288315141,0.0501191993188159,-0.0016386960577266,0.0985997025799052,0.0575771918606347,0.97682360457667,96.2279876145545,48.7016172416212,30562.190374842,0
E4,p3,0.00999999977648258,0.286904504472693,0.580807804454575,-0.570807804678092,0.590807804231057,0.972377971189021,0.97682360457667,96.2279876145545,48.7016172416212,30562.190374842,0
E4,p5,0.363253176212311,0.238850829104773,0.483528224485237,-0.120275048272926,0.846781400697548,0.13657899522609,0.97682360457667,96.2279876145545,48.7016172416212,30562.190374842,0
E4,p7,0.180052056908607,0.0750695201595297,0.151970298498624,0.0280817584099837,0.332022355407231,0.0214786180578435,0.97682360457667,96.2279876145545,48.7016172416212,30562.190374842,0
E4,p9,0.0940729603171349,0.0390174827392463,0.0789867643478662,0.0150861959692686,0.173059724665001,0.020849156888889,0.97682360457667,96.2279876145545,48.7016172416212,30562.190374842,0
E5,p1,0.315517485141754,0.150923121710005,0.30552788678911,0.0099895983526439,0.621045371930864,0.0433070433505986,0.985002328883671,68.2729649536623,33.6005362312849,18545.4594785471,0
E5,p2,0.0359612964093685,0.0172207040892467,0.034861492856726,0.00109980355264249,0.0708227892660945,0.0435280828734789,0.985002328883671,68.2729649536623,33.6005362312849,18545.4594785471,0
E5,p3,0.0881703719496727,0.201439446820946,0.407792840525979,-0.319622468576306,0.495963212475652,0.664080462930287,0.985002328883671,68.2729649536623,33.6005362312849,18545.4594785471,0
E5,p5,0.33510410785675,0.231678841519278,0.469009294673512,-0.133905186816762,0.804113402530263,0.156259066259424,0.985002328883671,68.2729649536623,33.6005362312849,18545.4594785471,0
E5,p7,0.201429337263107,0.080663714792467,0.16329515346533,0.0381341837977775,0.364724490728437,0.0169698563998642,0.985002328883671,68.2729649536623,33.6005362312849,18545.4594785471,0
E5,p9,0.103797793388367,0.0414742021948201,0.0839601328760987,0.019837660512268,0.187757926264465,0.016743624118674,0.985002328883671,68.2729649536623,33.6005362312849,18545.4594785471,0
E6,p1,0.327044665813446,0.342710603848476,0.693781346341602,-0.366736680528156,1.02082601215505,0.345969285713895,0.910224965425776,415.852424611924,113.100466124807,43774.1658863884,0
E6,p2,0.0362767949700356,0.0358078303231622,0.0724891627285596,-0.036212367758524,0.108765957698595,0.317421485860818,0.910224965425776,415.852424611924,113.100466124807,43774.1658863884,0
E6,p3,0.00999999977648258,0.500160704611503,1.01252241143362,-1.00252241165714,1.02252241121011,0.984153114583585,0.910224965425776,415.852424611924,113.100466124807,43774.1658863884,0
E6,p5,0.663788259029388,0.862654285728375,1.74635230150217,-1.08256404247278,2.41014056053156,0.446370097240696,0.910224965425776,415.852424611924,113.100466124807,43774.1658863884,0
E6,p7,0.169202789664268,0.137398847097699,0.278149424192815,-0.108946634528546,0.447352213857083,0.225713513025093,0.910224965425776,415.852424611924,113.100466124807,43774.1658863884,0
E6,p9,0.0948286652565002,0.0761680118871449,0.154194078741114,-0.0593654134846135,0.249022743997614,0.22075751029618,0.910224965425776,415.852424611924,113.100466124807,43774.1658863884,0
E7,p1,0.462192118167877,0.253035500590412,0.512243590657775,-0.0500514724898974,0.974435708825652,0.0756250378036414,0.984314132478031,63.710678018023,30.5574222242149,108260.693179466,0
E7,p2,0.0588782764971256,0.0231925322300657,0.0469508268928853,0.0119274496042403,0.105829103390011,0.0153450195688744,0.984314132478031,63.710678018023,30.5574222242149,108260.693179466,0
