Experiment,Parameter,Estimate,SE,MoE,CI95_low,CI95_high,PValue,R2_adj,RSS_global,AIC,cond_JTJ,used_pinv
E1,p1,0.217563801229295,0.0201224258429301,0.0407357214401792,0.176828079789116,0.258299522669474,3.7306519812615e-13,0.998629546726107,0.84291676921975,-159.753104152298,19723.038367571,0
E1,p2,0.03572120684737,0.00397380155469503,0.00804454067586893,0.0276766661715011,0.0437657475232389,6.05236813908201e-11,0.998629546726107,0.84291676921975,-159.753104152298,19723.038367571,0
E1,p3,0.144873682835754,0.0337895136719962,0.0684032942790127,0.0764703885567413,0.213276977114767,0.000119246841555767,0.998629546726107,0.84291676921975,-159.753104152298,19723.038367571,0
E1,p5,0.727238629248323,0.0842022077107911,0.170458457878229,0.556780171370094,0.897697087126552,1.69935239320064e-10,0.998629546726107,0.84291676921975,-159.753104152298,19723.038367571,0
E1,p7,0.364444928374251,0.0253759830748716,0.051370992040299,0.313073936333952,0.41581592041455,6.1741251201572e-17,0.998629546726107,0.84291676921975,-159.753104152298,19723.038367571,0
E1,p9,0.200051201385299,0.0137989385692057,0.0279344907076798,0.172116710677619,0.227985692092979,4.55683130872727e-17,0.998629546726107,0.84291676921975,-159.753104152298,19723.038367571,0
E2,p1,0.307012718380684,0.04140869173851,0.0838275138906694,0.223185204490015,0.390840232271353,6.81409235870546e-09,0.998834351024104,1.41914968874745,-136.831526835553,27963.6944796957,0
E2,p2,0.0565378669018208,0.00612258246968218,0.0123945202196943,0.0441433466821265,0.0689323871215151,2.97800820465218e-11,0.998834351024104,1.41914968874745,-136.831526835553,27963.6944796957,0
E2,p3,0.0100000000000222,0.0538504224180886,0.109014480867373,-0.0990144808673506,0.119014480867395,0.853668083235841,0.998834351024104,1.41914968874745,-136.831526835553,27963.6944796957,0
E2,p5,0.265644563732536,0.0302489727295465,0.0612358438580263,0.20440871987451,0.326880407590562,1.1087391487719e-10,0.998834351024104,1.41914968874745,-136.831526835553,27963.6944796957,0
E2,p7,0.154948282141551,0.00971978556557929,0.0196766771734345,0.135271604968116,0.174624959314986,2.03101563087249e-18,0.998834351024104,1.41914968874745,-136.831526835553,27963.6944796957,0
E2,p9,0.0756303317099436,0.00472850243118424,0.00957235272573293,0.0660579789842107,0.0852026844356765,1.8190214192539e-18,0.998834351024104,1.41914968874745,-136.831526835553,27963.6944796957,0
E3,p1,0.31692782951479,0.056253689200408,0.113879640115824,0.203048189398966,0.430807469630614,1.80954834730188e-06,0.997754439110699,2.64574825589532,-109.424101151745,24900.4721434936,0
E3,p2,0.0546828586772527,0.0078766404762136,0.0159454250112796,0.0387374336659731,0.0706282836885323,2.94284425276925e-08,0.997754439110699,2.64574825589532,-109.424101151745,24900.4721434936,0
E3,p3,0.0100000000001315,0.0722392356989566,0.146240687154429,-0.136240687154297,0.15624068715456,0.890632422145444,0.997754439110699,2.64574825589532,-109.424101151745,24900.4721434936,0
E3,p5,0.233291782377002,0.0375608415437794,0.0760379484128493,0.157253833964153,0.309329730789851,2.92391458734486e-07,0.997754439110699,2.64574825589532,-109.424101151745,24900.4721434936,0
E3,p7,0.155065016210432,0.0136392468857078,0.0276112117955814,0.127453804414851,0.182676228006013,8.58442374549454e-14,0.997754439110699,2.64574825589532,-109.424101151745,24900.4721434936,0
