Experiment,Parameter,Estimate,SE,MoE,CI95_low,CI95_high,PValue,R2_adj,RSS_global,AIC,cond_JTJ,used_pinv
E1,p1,0.118637955381958,0.0263894994686046,0.0534227487128012,0.0652152066691568,0.172060704094759,6.32687924417217e-05,0.994689286434163,3.26642987867242,-100.151378858672,18134.222416776,0
E1,p2,0.01,0.00660846872289706,0.0133781455150276,-0.00337814551502759,0.0233781455150276,0.138499838608731,0.994689286434163,3.26642987867242,-100.151378858672,18134.222416776,0
E1,p3,0.238172864840163,0.046274302542087,0.0936774280052978,0.144495436834865,0.331850292845461,8.38135546589117e-06,0.994689286434163,3.26642987867242,-100.151378858672,18134.222416776,0
E1,p5,0.485058920527516,0.0989662585209068,0.200346716173927,0.284712204353589,0.685405636701443,1.8064848143337e-05,0.994689286434163,3.26642987867242,-100.151378858672,18134.222416776,0
E1,p7,0.275836575235217,0.0293255799645458,0.0593665329335603,0.216470042301657,0.335203108168777,1.82040367039034e-11,0.994689286434163,3.26642987867242,-100.151378858672,18134.222416776,0
E1,p9,0.148332387757454,0.0155945431788033,0.0315695022000426,0.116762885557411,0.179901889957497,1.34661891874159e-11,0.994689286434163,3.26642987867242,-100.151378858672,18134.222416776,0
E2,p1,0.18579275442303,0.0569179103249622,0.115224285483918,0.0705684689391117,0.301017039906948,0.00232645505377082,0.995231881680321,5.80506976732442,-74.8498817452334,17949.2272534122,0
E2,p2,0.0292994440459993,0.00910229337584764,0.0184266295882805,0.0108728144577188,0.0477260736342798,0.00263408289360337,0.995231881680321,5.80506976732442,-74.8498817452334,17949.2272534122,0
E2,p3,0.133623375675883,0.0780611953291721,0.158026628252368,-0.0244032525764853,0.291650003928251,0.0950891972533199,0.995231881680321,5.80506976732442,-74.8498817452334,17949.2272534122,0
E2,p5,0.221336093813659,0.0474154116203021,0.0959874825636233,0.125348611250036,0.317323576377282,3.72370630039501e-05,0.995231881680321,5.80506976732442,-74.8498817452334,17949.2272534122,0
E2,p7,0.138524087184688,0.0156134875044371,0.031607852982295,0.106916234202393,0.170131940166983,8.51520663984703e-11,0.995231881680321,5.80506976732442,-74.8498817452334,17949.2272534122,0
E2,p9,0.0693817443052543,0.00778747742634698,0.015764923853493,0.0536168204517613,0.0851466681587473,7.6359054438428e-11,0.995231881680321,5.80506976732442,-74.8498817452334,17949.2272534122,0
E3,p1,0.216007036814369,0.0771968997513649,0.15627695332876,0.0597300834856086,0.372283990143129,0.00802702838120362,0.994270220682096,6.75089849900564,-68.2083469145839,27327.931667862,0
E3,p2,0.0375129940626085,0.0117776492230197,0.0238426043516835,0.013670389710925,0.061355598414292,0.00288836284806939,0.994270220682096,6.75089849900564,-68.2083469145839,27327.931667862,0
E3,p3,0.100674402118775,0.0996601354906344,0.201751396661916,-0.101076994543141,0.302425798780691,0.318799719970378,0.994270220682096,6.75089849900564,-68.2083469145839,27327.931667862,0
E3,p5,0.172027952143309,0.0405379236584547,0.0820647360712847,0.0899632160720242,0.254092688214594,0.000136171846439793,0.994270220682096,6.75089849900564,-68.2083469145839,27327.931667862,0
E3,p7,0.127580163421814,0.0157340749767448,0.0318519695574756,0.0957281938643384,0.15943213297929,8.21151111196633e-10,0.994270220682096,6.75089849900564,-68.2083469145839,27327.931667862,0
E3,p9,0.0662969021910488,0.00815864704227661,0.0165163174578024,0.0497805847332464,0.0828132196488512,7.79143493769204e-10,0.994270220682096,6.75089849900564,-68.2083469145839,27327.931667862,0
E4,p1,0.284354469611361,0.0285630804407683,0.0578229333476394,0.226531536263722,0.342177402959,3.86609654400261e-12,0.999301882036247,2.53345349817544,-111.332404418593,31254.6326135316,0
E4,p2,0.0336999175753791,0.00318932405321613,0.0064564490001548,0.0272434685752243,0.0401563665755339,7.22077055438144e-13,0.999301882036247,2.53345349817544,-111.332404418593,31254.6326135316,0
E4,p3,0.01,0.0390724617668455,0.0790980635704756,-0.0690980635704757,0.0890980635704756,0.799381649778299,0.999301882036247,2.53345349817544,-111.332404418593,31254.6326135316,0
E4,p5,0.222554841845697,0.021684945079664,0.0438988762640233,0.178655965581674,0.26645371810972,1.6506498359765e-12,0.999301882036247,2.53345349817544,-111.332404418593,31254.6326135316,0
E4,p7,0.131155404409772,0.0075934295671587,0.0153720944998327,0.115783309909939,0.146527498909605,1.38421321014845e-19,0.999301882036247,2.53345349817544,-111.332404418593,31254.6326135316,0
E4,p9,0.0685703138063603,0.0039507188565404,0.00799781219643735,0.060572501609923,0.0765681260027977,1.17424401532575e-19,0.999301882036247,2.53345349817544,-111.332404418593,31254.6326135316,0
E5,p1,0.162930152728443,0.0533354444428591,0.107971962459775,0.054958190268668,0.270902115188218,0.00410292390663127,0.994188745124554,23.2172157707965,-13.8587348691146,13507.7123884824,0
E5,p2,0.01,0.00676459271344043,0.0136942020103302,-0.00369420201033023,0.0236942020103302,0.147573107794394,0.994188745124554,23.2172157707965,-13.8587348691146,13507.7123884824,0
E5,p3,0.165531057529899,0.0766414556900212,0.155152515612597,0.0103785419173022,0.320683573142496,0.0371617827660951,0.994188745124554,23.2172157707965,-13.8587348691146,13507.7123884824,0
E5,p5,0.200606027909605,0.0679683002975116,0.137594630453299,0.0630113974563063,0.338200658362904,0.00539410723258585,0.994188745124554,23.2172157707965,-13.8587348691146,13507.7123884824,0
E5,p7,0.143293187380879,0.0245770905380594,0.0497537186511836,0.0935394687296954,0.193046906032063,9.72940458380072e-07,0.994188745124554,23.2172157707965,-13.8587348691146,13507.7123884824,0
E5,p9,0.0698961743209661,0.0119582578030372,0.0242082273070233,0.0456879470139428,0.0941044016279894,9.28912069592704e-07,0.994188745124554,23.2172157707965,-13.8587348691146,13507.7123884824,0
E6,p1,0.175635135463988,0.0850612041612923,0.172197405279445,0.00343773018454338,0.347832540743433,0.0458137066213245,0.983108954138465,68.7075133620643,33.8797029321917,30368.8329686504,0
E6,p2,0.01,0.00975015545405005,0.0197381577984134,-0.00973815779841338,0.0297381577984134,0.311553366394308,0.983108954138465,68.7075133620643,33.8797029321917,30368.8329686504,0
E6,p3,0.129641780775318,0.128631851373886,0.260401569214487,-0.130759788439169,0.390043349989805,0.319900676393475,0.983108954138465,68.7075133620643,33.8797029321917,30368.8329686504,0
E6,p5,0.433202999750002,0.221183416222272,0.447762416954479,-0.0145594172044766,0.88096541670448,0.0575328897200234,0.983108954138465,68.7075133620643,33.8797029321917,30368.8329686504,0
E6,p7,0.136938470495205,0.0398128676053414,0.080596936828853,0.056341533666352,0.217535407324058,0.00142897674729586,0.983108954138465,68.7075133620643,33.8797029321917,30368.8329686504,0
E6,p9,0.0706360080259228,0.0203122644844813,0.0411200296782204,0.0295159783477024,0.111756037704143,0.00128413235761486,0.983108954138465,68.7075133620643,33.8797029321917,30368.8329686504,0
E7,p1,0.349310865882118,0.061170642084652,0.123833490838917,0.225477375043201,0.473144356721035,1.42106824683736e-06,0.998640394614943,4.82629792425882,-82.9745668897452,176228.098903118,0
E7,p2,0.0419373103382586,0.00509995053092662,0.0103243100910476,0.031613000247211,0.0522616204293062,5.81969799820864e-10,0.998640394614943,4.82629792425882,-82.9745668897452,176228.098903118,0
E7,p3,0.01,0.0719901249398171,0.145736388787459,-0.135736388787459,0.155736388787459,0.890256458984752,0.998640394614943,4.82629792425882,-82.9745668897452,176228.098903118,0
E7,p5,0.147316375507447,0.0195339552921899,0.0395444250916265,0.10777195041582,0.186860800599074,4.60595957333576e-09,0.998640394614943,4.82629792425882,-82.9745668897452,176228.098903118,0
E7,p7,0.0735899031858656,0.00454117921033423,0.00919313669067899,0.0643967664951866,0.0827830398765446,1.17761702321168e-18,0.998640394614943,4.82629792425882,-82.9745668897452,176228.098903118,0
E7,p9,0.0398386331451756,0.00244651104611239,0.00495270268369608,0.0348859304614795,0.0447913358288717,1.00171549376915e-18,0.998640394614943,4.82629792425882,-82.9745668897452,176228.098903118,0
E8,p1,0.252300038906408,0.0968826799218739,0.196128731817993,0.0561713070884151,0.448428770724401,0.0130691728115928,0.993977624904503,60.8023760487928,28.5015965680368,69934.8161259286,0
E8,p2,0.0288679658632907,0.0119047089924731,0.024099823407433,0.00476814245585772,0.0529677892707237,0.0201741540193506,0.993977624904503,60.8023760487928,28.5015965680368,69934.8161259286,0
E8,p3,0.01,0.117896848665143,0.238669692381328,-0.228669692381328,0.248669692381328,0.932849873699836,0.993977624904503,60.8023760487928,28.5015965680368,69934.8161259286,0
E8,p5,0.28502629249905,0.138439072087813,0.280255249591956,0.00477104290709385,0.565281542091006,0.0464102619100553,0.993977624904503,60.8023760487928,28.5015965680368,69934.8161259286,0
E8,p7,0.0805871170833888,0.0143469056910137,0.0290437921510835,0.0515433249323053,0.109630909234472,1.90850171809671e-06,0.993977624904503,60.8023760487928,28.5015965680368,69934.8161259286,0
E8,p9,0.0410323109394168,0.00720517880416404,0.0145861219210919,0.0264461890183249,0.0556184328605087,1.49282481314917e-06,0.993977624904503,60.8023760487928,28.5015965680368,69934.8161259286,0
E9,p1,0.247932416868888,0.138444073460836,0.280265374342317,-0.0323329574734291,0.528197791211205,0.0812862252348617,0.988265245220202,104.126428993838,52.1725826436881,364687.531597702,0
E9,p2,0.0172104083264149,0.00869275139422828,0.0175975551908134,-0.00038714686439846,0.0348079635172283,0.0549957694896992,0.988265245220202,104.126428993838,52.1725826436881,364687.531597702,0
E9,p3,0.01,0.154660032690613,0.313092867569311,-0.303092867569311,0.323092867569311,0.94878530118589,0.988265245220202,104.126428993838,52.1725826436881,364687.531597702,0
E9,p5,0.202031692150491,0.0868319277890461,0.175782047857371,0.0262496442931205,0.377813740007861,0.0254116269534782,0.988265245220202,104.126428993838,52.1725826436881,364687.531597702,0
E9,p7,0.0296332248338166,0.00430034568379676,0.00870559470508218,0.0209276301287344,0.0383388195388988,3.45608322753593e-08,0.988265245220202,104.126428993838,52.1725826436881,364687.531597702,0
E9,p9,0.0146835157982473,0.00207169733285895,0.00419393199003166,0.0104895838082156,0.018877447788279,1.87211955825617e-08,0.988265245220202,104.126428993838,52.1725826436881,364687.531597702,0
